GS_minus_C0,RCS_minus_C0,RCS_minus_GS,replicate
-0.0015860522115194176,-0.0019104844693478285,-0.0003244322578284109,193
-0.003637202232710357,-0.00408762181028155,-0.0004504195775711928,194
-0.0013540033794520179,-0.0018181558005267995,-0.0004641524210747816,195
-0.002110363860059028,-0.002228619093627038,-0.00011825523356800982,196
-0.0017939223255319936,-0.002215999294236992,-0.00042207696870499856,197
-0.002279244029482874,-0.0027160147995195505,-0.0004367707700366763,198
-0.002399502710637269,-0.0030541867075315476,-0.0006546839968942786,199
-0.0011129896154693508,-0.0010212294031670677,9.176021230228315e-05,200
-0.0026557692143347467,-0.003290995103361727,-0.0006352258890269802,201
-0.0023751721786674507,-0.0019541830706674146,0.0004209891080000361,202
-0.0028752434703569474,-0.003423156071575728,-0.0005479126012187807,203
-0.0023091166813092867,-0.002262344763289681,4.6771918019605785e-05,204
-0.0019307659848770697,-0.0019375358405806509,-6.769855703581129e-06,205
-0.0009381251780569144,-0.0014218716677971699,-0.00048374648974025547,206
-0.0020269376224926194,-0.002213004709925359,-0.0001860670874327397,207
-0.0032839974398685134,-0.0033731960377585413,-8.919859789002782e-05,208
-0.001554516752400481,-0.0015705105790984053,-1.5993826697924263e-05,209
-0.003239680946090062,-0.002719559970449037,0.0005201209756410252,210
-0.001283755773453854,-0.0018987879867429225,-0.0006150322132890684,211
-0.0026137246624067245,-0.0027963557426219365,-0.00018263108021521202,212
-0.00234188161094695,-0.0034220856572475533,-0.0010802040463006035,213
-0.001987381715283343,-0.001518250822712397,0.00046913089257094587,214
-0.0017669172361087782,-0.00198056268503477,-0.00021364544892599202,215
-0.002037947991031852,-0.002502743094717541,-0.000464795103685689,216
-0.0021215880517085894,-0.001960284097347942,0.0001613039543606476,217
-0.0012607059865838988,-0.0021822986540264155,-0.0009215926674425168,218
-0.0015162503350354406,-0.001694234615230994,-0.00017798428019555335,219
-0.002066885884601799,-0.002207013648639178,-0.0001401277640373788,220
-0.0030799500770746224,-0.0035806790789675302,-0.0005007290018929078,221
-0.0018033530732809444,-0.0022962075980262897,-0.0004928545247453453,222
-0.002920381132070382,-0.0033139239408787047,-0.0003935428088083226,223
-0.003573179376070601,-0.0027836101114429024,0.0007895692646276986,224
-0.002568626935781082,-0.002913589476249978,-0.00034496254046889607,225
-0.0032093941184804242,-0.003271682118042518,-6.228799956209397e-05,226
-0.002105273954386533,-0.0028453394572948154,-0.0007400655029082825,227
-0.003502649678689407,-0.0031387488879062175,0.00036390079078318927,228
-0.0025668082247211066,-0.0026134011055034545,-4.659288078234791e-05,229
-0.0037173768238640825,-0.00322347213569818,0.0004939046881659026,230
-0.002903898295869789,-0.002545129420693737,0.00035876887517605205,231
-0.0014973882206864575,-0.0021447287653014735,-0.000647340544615016,232
-0.0024865761927154173,-0.0031128850859039048,-0.0006263088931884875,233
-0.0018191428781429986,-0.002352190943798793,-0.0005330480656557945,234
-0.003285023065680348,-0.002615523176453638,0.0006694998892267101,235
-0.002299041169578575,-0.00220683477200756,9.220639757101523e-05,236
-0.0022720847435669933,-0.003139999863419729,-0.0008679151198527357,237
-0.0021602687919078933,-0.00188323999421236,0.00027702879769553324,238
-0.004312048334154994,-0.0034257062753508816,0.0008863420588041127,239
-0.004299448255555838,-0.003821215231134989,0.0004782330244208488,240
