metric,observed,ci95_low,ci95_high,resamples,finite_resamples,seed,resampling_images,aggregation
Still_Wrong__mean_B_family,0.113319929125745,0.11012792837818008,0.11670840311200799,10000,10000,42,3418,pooled_target_mean
Harmed_by_CH__mean_B_S,0.22832520658556651,0.22447038026843477,0.23229544406340372,10000,10000,42,3418,pooled_target_mean
Harmed_by_CH__mean_B_D,0.03621255389542633,0.03083420606245942,0.04187326299718325,10000,10000,42,3418,pooled_target_mean
Harmed_by_CH__mean_B_family,0.13226888022117889,0.1282704510182151,0.1364793751031603,10000,10000,42,3418,pooled_target_mean
Stable_Correct__mean_B_S,0.06859619255158092,0.06670102668247332,0.07048777981343571,10000,10000,42,3418,pooled_target_mean
Stable_Correct__mean_B_D,0.06417875757091228,0.06196187812053306,0.06636960673839581,10000,10000,42,3418,pooled_target_mean
Stable_Correct__mean_B_family,0.06638747506154336,0.06527806524652269,0.06749053656611292,10000,10000,42,3418,pooled_target_mean
pair0_1__mean_B_S,0.25953377357648766,0.2569945167260771,0.26207584801372086,10000,10000,42,3418,pooled_target_mean
pair0_1__mean_B_D,0.034884378696286106,0.030622417758900938,0.03905064548041038,10000,10000,42,3418,pooled_target_mean
pair0_1__mean_B_family,0.1472090761331141,0.144401867891873,0.149985918107434,10000,10000,42,3418,pooled_target_mean
pair0_2__mean_B_S,0.31731863463097504,0.31385553546608175,0.32076478852189916,10000,10000,42,3418,pooled_target_mean
pair0_2__mean_B_D,0.13235583619761893,0.12550983806633453,0.1390333558545814,10000,10000,42,3418,pooled_target_mean
pair0_2__mean_B_family,0.22483723541371717,0.22031795234602208,0.22934320100470787,10000,10000,42,3418,pooled_target_mean
pair0_3__mean_B_S,0.38803812557628353,0.37780753263279954,0.39755990056041085,10000,10000,42,3418,pooled_target_mean
pair0_3__mean_B_D,0.2764141502999964,0.2583661483577972,0.292928015583173,10000,10000,42,3418,pooled_target_mean
pair0_3__mean_B_family,0.33222613795546924,0.3182714920235739,0.3452854033854743,10000,10000,42,3418,pooled_target_mean
pair1_0__mean_B_S,0.21424772131977676,0.21147904209585783,0.21707215852494582,10000,10000,42,3418,pooled_target_mean
pair1_0__mean_B_D,-0.035707730924888804,-0.04027450731919296,-0.031025251429571944,10000,10000,42,3418,pooled_target_mean
pair1_0__mean_B_family,0.08926999519811141,0.08618653338226405,0.09236268065444878,10000,10000,42,3418,pooled_target_mean
pair1_2__mean_B_S,0.23482338052092733,0.23122958635013824,0.2383939332327683,10000,10000,42,3418,pooled_target_mean
pair1_2__mean_B_D,0.11014682942398396,0.10421630450535863,0.11590795444537735,10000,10000,42,3418,pooled_target_mean
pair1_2__mean_B_family,0.17248510498067607,0.16811819568483444,0.17670392465373896,10000,10000,42,3418,pooled_target_mean
pair1_3__mean_B_S,0.36577340463647545,0.3536969319156326,0.37694685171537723,10000,10000,42,3418,pooled_target_mean
pair1_3__mean_B_D,0.27476338288388286,0.25705744739957387,0.2911459924401009,10000,10000,42,3418,pooled_target_mean
pair1_3__mean_B_family,0.3202683937786186,0.3053653795203274,0.3340262269222488,10000,10000,42,3418,pooled_target_mean
pair2_0__mean_B_S,0.20625017240888133,0.20008459644951915,0.21201320536557872,10000,10000,42,3418,pooled_target_mean
pair2_0__mean_B_D,-0.02162408736999081,-0.029541955850377607,-0.013971872599448432,10000,10000,42,3418,pooled_target_mean
pair2_0__mean_B_family,0.09231304252542805,0.08703589724070093,0.09756818585854375,10000,10000,42,3418,pooled_target_mean
