group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
Top20_Shallow_Wrong,ctx_S,313673,220561,-0.19430664006081827,nan,1.0,220561,0,1.0,nan,1.0,0,0.1802811920511786,nan,0.1527442725219342,0.1802811920511786,nan,0
Top20_Shallow_Wrong,ctx_D,313673,220561,0.13844338925752006,nan,1.0,220561,0,1.0,nan,1.0,0,0.8359229419525664,nan,0.4553148298607424,0.8359229419525664,nan,0
Top20_Shallow_Wrong,ctx_sym,313673,220561,-0.04793787497766739,nan,1.0,220561,0,1.0,nan,1.0,0,0.45741540888915083,nan,0.31385383062320926,0.45741540888915083,nan,0
class0,ctx_S,965133,132225,-0.07895031147121476,0.841996393814596,0.7300451329902898,43802,88423,0.3312686708262432,0.8071503123539497,0.7650578479744276,1654,0.7800340328984685,0.6928621143547707,0.7097336157936549,0.43454636774576505,0.9511778609637764,0
class0,ctx_D,965133,132225,-0.008149290425109142,0.7524745218282979,0.5872587153056138,43802,88423,0.3312686708262432,0.7229197092106939,0.704935201991915,1654,0.669540555870675,0.6882201835266584,0.6588657847274758,0.74357335281494,0.6328670142383769,0
class0,ctx_sym,965133,132225,-0.051069100646460225,0.8065669767929092,0.6801443505872525,43802,88423,0.3312686708262432,0.7686069293503407,0.7332575218417607,1654,0.7733635847986386,0.7356512040548882,0.7396164601639403,0.6238984521254737,0.8474039559843027,0
class1,ctx_S,1044692,204051,-0.09929334205996561,0.8115806896808319,0.8476423774193839,121742,82309,0.5966253534655552,0.7677721938861826,0.8279500851428911,2204,0.5581349760599066,0.6225027745671037,0.537180650795841,0.2894235350166746,0.9555820141175327,0
class1,ctx_D,1044692,204051,0.01191407268316103,0.8167558797630154,0.845806161253161,121742,82309,0.5966253534655552,0.7700243087611679,0.804684763452636,2204,0.7539634699168345,0.740705661633548,0.7424142513000573,0.8093098519820604,0.6721014712850356,0
class1,ctx_sym,1044692,204051,-0.05478416280731783,0.8371034826323609,0.8715692135466058,121742,82309,0.5966253534655552,0.7853702458758068,0.8213801372865627,2204,0.7061518933991993,0.7339177092304603,0.7061508903329339,0.5902400157710568,0.8775954026898638,0
class2,ctx_S,323515,86599,-0.1149602014587733,0.33593609439209227,0.8052727343372404,74850,11749,0.8643286873982379,0.2918171553699121,0.7516250008750944,723,0.24127299391447937,0.42612037306945727,0.2388160566347247,0.17243820975283902,0.6798025363860755,0
