group,context,targets,different_from_both,correct_third_class,wrong_third_class,rescue_rate,rescue_precision,intrusion_rate,harm_rate,equals_shallow,equals_deep,accuracy,miou
Harmed_by_CH,ctx_sym,69617,21863,1652,20211,0.02372983610325064,0.07556145085303938,0.3140468563712886,0.29031702026803796,0.2813249637301234,0.5968944367036787,0.20020971889050088,0.06316828689507431
Stable_Correct,ctx_S,1726078,93700,17078,76622,0.009894106755314649,0.1822625400213447,0.05428491644062435,0.0443908096853097,0.9114478024747433,0.8771648789915635,0.9446322819710349,0.734937656357054
Stable_Correct,ctx_D,1726078,73434,13908,59526,0.008057573296224156,0.18939455837895253,0.0425438479605209,0.03448627466429675,0.9008787551895105,0.9101784508000218,0.9360324388584988,0.8027118766299606
Stable_Correct,ctx_sym,1726078,63342,15919,47423,0.009222642313962637,0.2513182406618042,0.03669706699233754,0.027474424678374906,0.9170709550785074,0.9054764616662746,0.9540026580490569,0.8776364277820152
pair0_1,ctx_S,201473,4478,3636,842,0.018047083231996348,0.8119696292987941,0.022226303276369538,0.004179220044373192,0.46446918445647806,0.5133045122671525,0.6724871322708253,0.3167039454976623
pair0_1,ctx_D,201473,14859,9537,5322,0.047336367652241244,0.6418332323844135,0.07375181786145042,0.026415450209209174,0.20221568150571045,0.7240325006328392,0.6517647525971222,0.38398706068234845
pair0_1,ctx_sym,201473,9966,7496,2470,0.037205977972234495,0.7521573349387919,0.049465685228293615,0.012259707256059125,0.289746020558586,0.6607882942131204,0.6770187568557573,0.3810525154873233
pair0_2,ctx_S,44977,14282,5718,8564,0.1271316450630322,0.4003640946646128,0.3175400760388643,0.1904084309758321,0.19861262423016207,0.4838472997309736,0.6142472819441047,0.2868981193013371
pair0_2,ctx_D,44977,9225,4181,5044,0.09295862329635148,0.4532249322493225,0.20510483135824978,0.1121462080618983,0.04831358249772106,0.7465815861440291,0.7236809925072815,0.3474324922931575
pair0_2,ctx_sym,44977,10871,4992,5879,0.11099006158703337,0.4592033851531598,0.24170131400493586,0.1307112524179025,0.07661693754585677,0.6816817484492074,0.7190119394357116,0.3528973660269269
pair0_3,ctx_S,63094,21525,6212,15313,0.09845627159476338,0.28859465737514517,0.3411576378102514,0.242701366215488,0.6120550290043427,0.0467873331854059,0.3308238501283799,0.16544250925790932
pair0_3,ctx_D,63094,9480,5905,3575,0.09359051573842203,0.6228902953586498,0.15025200494500268,0.05666148920658066,0.191064126541351,0.6586838685136464,0.7186261768155451,0.42931827966469926
pair0_3,ctx_sym,63094,11229,6698,4531,0.1061590642533363,0.5964912280701754,0.17797254889529907,0.07181348464196279,0.30140742384378866,0.5206200272609123,0.7196405363426,0.4376097476109505
pair1_0,ctx_S,66979,325,203,122,0.0030308006987264666,0.6246153846153846,0.004852267128502964,0.001821466429776497,0.23552158139118232,0.7596261514803148,0.6998312904044551,0.2841834102502268
pair1_0,ctx_D,66979,2536,1264,1272,0.018871586616700756,0.49842271293375395,0.0378626136550262,0.018991027038325444,0.23473028859791875,0.727407097747055,0.7000253810895952,0.3611581086261372
pair1_0,ctx_sym,66979,1208,775,433,0.011570790844891682,0.6415562913907285,0.01803550366532794,0.006464712820436256,0.2307141044207886,0.7512503919138834,0.7089087624479314,0.3382618591828243
pair1_2,ctx_S,76360,7683,2062,5621,0.027003666841278157,0.26838474554210595,0.10061550550026192,0.07361183865898376,0.5284049240440021,0.370979570455736,0.6264143530644316,0.29811991525456705
pair1_2,ctx_D,76360,2973,1369,1604,0.0179282346778418,0.4604776320215271,0.03893399685699319,0.02100576217915139,0.3105814562598219,0.6504845468831849,0.687847040335254,0.3447104873009754
pair1_2,ctx_sym,76360,3721,1576,2145,0.020639078051335778,0.4235420585864015,0.048729701414353066,0.028090623363017285,0.3819408067050812,0.5693294918805657,0.6944473546359351,0.3507146046013142
pair1_3,ctx_S,86266,23812,7790,16022,0.09030208888785848,0.3271459768184109,0.2760299538636311,0.18572786497577262,0.6858321934481719,0.03813785268819697,0.43976769526812415,0.2126028392634356
pair1_3,ctx_D,86266,10657,6028,4629,0.0698768924025688,0.5656376090832317,0.12353650337328727,0.053659610970718474,0.2885841467090163,0.5878793499176964,0.743004196323001,0.4553452215221643
pair1_3,ctx_sym,86266,14435,7178,7257,0.08320775276470452,0.4972635954277797,0.16733127767602532,0.0841235249113208,0.37189622794612015,0.46077249437785456,0.7740129367305775,0.48806906366522396
pair2_0,ctx_S,5604,365,134,231,0.023911491791577446,0.36712328767123287,0.06513204853675945,0.04122055674518201,0.047109207708779445,0.8877587437544611,0.7387580299785867,0.2785096799235856
pair2_0,ctx_D,5604,531,203,328,0.03622412562455389,0.3822975517890772,0.09475374732334046,0.05852962169878658,0.07351891506067094,0.8317273376159886,0.7517844396859387,0.34337367124299356
pair2_0,ctx_sym,5604,438,178,260,0.03176302640970735,0.4063926940639269,0.07815845824411134,0.046395431834404,0.06548893647394718,0.8563526052819415,0.7512491077801571,0.32350485383481675
pair2_1,ctx_S,35079,5620,2835,2785,0.0808175831694176,0.5044483985765125,0.16020981213831637,0.07939222896889878,0.04786339405342228,0.7919267938082614,0.6225091935345933,0.2791855480334989
pair2_1,ctx_D,35079,2838,1842,996,0.05251004874711366,0.6490486257928119,0.08090310442144873,0.02839305567433507,0.0929901080418484,0.8261067875367029,0.6391858376806636,0.3220512707854321
pair2_1,ctx_sym,35079,3499,2211,1288,0.06302916274694262,0.6318948270934552,0.09974628695230765,0.036717124205365034,0.07263605005843952,0.8276176629892529,0.6401550785370165,0.308640993361115
pair2_3,ctx_S,3995,3582,1349,2233,0.3376720901126408,0.37660524846454496,0.8966207759699625,0.5589486858573216,0.06433041301627034,0.03904881101376721,0.38848560700876095,0.20533156268210354
pair2_3,ctx_D,3995,1690,948,742,0.23729662077596997,0.5609467455621302,0.4230287859824781,0.18573216520650815,0.07209011264080101,0.5048811013767209,0.5909887359198999,0.37495869924874414
pair2_3,ctx_sym,3995,2270,1194,1076,0.2988735919899875,0.5259911894273128,0.5682102628285357,0.2693366708385482,0.07384230287859825,0.3579474342928661,0.5992490613266583,0.3907404178281375
pair3_0,ctx_S,1273,229,143,86,0.11233307148468186,0.6244541484716157,0.17989002356637862,0.06755695208169678,0.0,0.8201099764336214,0.6072270227808326,0.2784636241481908
