group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
Stable_Correct,dsrc,1726078,183398,0.03610494422317333,0.8780530527968115,0.6865674842945437,55733,127665,0.30389099117765733,0.8454278334494281,0.7864292969777371,3055,0.7431378750040895,0.7909147402793644,0.7336852503837452,0.9127267507580787,0.6691027298006501,0
pair0_1,old,201473,172710,-0.14053923998340878,0.7275982993540516,0.7893509767286174,101044,71666,0.585050083955764,0.5525290276403323,0.8023692107574244,1073,0.5677609866249783,0.6215009134347457,0.5477773680609554,0.30556985075808557,0.9374319761114057,0
pair0_1,dsrc,201473,172710,0.15387891227782705,0.7906115949310591,0.8202304690119753,101044,71666,0.585050083955764,0.6128405727814864,0.8198897852079584,1073,0.7239766081871345,0.6934856497297508,0.6972309776267374,0.8727386089228455,0.5142326905366561,0
pair0_2,old,44977,34259,-0.16838759980907111,0.778376111540791,0.9653514661936241,30821,3438,0.8996468081380076,0.5532313793199317,0.9758396282894021,103,0.34011500627572316,0.6150345945651502,0.32541058943781426,0.27108140553518706,0.9589877835951134,0
pair0_2,dsrc,44977,34259,0.2812868710195228,0.8752098263955362,0.9799370191706163,30821,3438,0.8996468081380076,0.6855652103411525,0.9812646245494784,103,0.8961148895180828,0.7816545088862392,0.7467556472425863,0.9248564290581097,0.6384525887143688,0
pair0_3,old,63094,46193,-0.47681640692974653,0.5302749597997076,0.6987719260115012,32874,13319,0.7116662697811357,0.4455922408127411,0.8595447581684497,134,0.2915809754724742,0.5018794843990051,0.2292835373380331,0.005110421609782807,0.9986485471882274,0
pair0_3,dsrc,63094,46193,0.1876358688817037,0.9288866885707575,0.9600059803335357,32874,13319,0.7116662697811357,0.651765382810159,0.9052792341069538,134,0.8805446712705388,0.8485452510289591,0.8526958895502499,0.9241345744357243,0.7729559276221939,0
pair1_0,old,66979,61970,-0.06733294031242316,0.7462331513155334,0.8247601289917779,39164,22806,0.6319832176859771,0.5772073798686972,0.8375660508057878,920,0.6250282394707116,0.6727429484235966,0.62502445005361,0.4919824328464917,0.8535034640007015,0
pair1_0,dsrc,66979,61970,0.11120705011839452,0.7740903061076383,0.8296059155914457,39164,22806,0.6319832176859771,0.6347148401749055,0.8533497447342382,920,0.7303856704857189,0.6983520775383271,0.7025929092475645,0.8197068736594832,0.5769972814171709,0
pair1_2,old,76360,70710,-0.22835574351727275,0.6738840581066058,0.7712070395303163,43655,27055,0.6173808513647292,0.5146483730772059,0.7473911871457903,637,0.4690001414227125,0.5638156479753454,0.4267382943408983,0.1599358607261482,0.9676954352245426,0
pair1_2,dsrc,76360,70710,0.11661446640788026,0.7502797660314371,0.8140123959210054,43655,27055,0.6173808513647292,0.5876078260065155,0.7764173652294135,637,0.7071701315231226,0.6754237990412256,0.6795072937117983,0.8106517008361013,0.54019589724635,0
pair1_3,old,86266,72407,-0.49275297798603096,0.5892478920423759,0.5738581710529718,39959,32448,0.5518665322413578,0.47368727804647137,0.8779896367055597,164,0.45003936083527835,0.5015790512660833,0.3143799538984514,0.004729848094296654,0.9984282544378699,0
pair1_3,dsrc,86266,72407,0.1477838094222223,0.9209862731649546,0.9224504985621618,39959,32448,0.5518665322413578,0.5991941325997787,0.8966860891178801,164,0.8365351416299529,0.8255926860596707,0.8303373857614362,0.9310793563402487,0.7201060157790927,0
pair2_0,old,5604,4616,0.11510401667440728,0.807097665021611,0.9603157354552084,3972,644,0.8604852686308492,0.4958592132505177,0.9897807743809185,23,0.8011265164644714,0.7237635498176678,0.6708552893219328,0.831067472306143,0.6164596273291926,0
pair2_0,dsrc,5604,4616,0.29973010168404857,0.9093217741582381,0.9827739739774022,3972,644,0.8604852686308492,0.6756383712905452,0.9933546917151281,23,0.9042461005199307,0.7635169791021623,0.7843285245006074,0.9587109768378651,0.5683229813664596,0
pair2_1,old,35079,29974,0.021720932328108695,0.6350476981085584,0.7500362009123218,19452,10522,0.6489624341095617,0.5210907186760539,0.8546761087884521,552,0.6017214919596984,0.60082022946702,0.5880731655053433,0.6038453629446844,0.5977950959893557,0
pair2_1,dsrc,35079,29974,0.22843801033005293,0.6990548928885643,0.7755822512586346,19452,10522,0.6489624341095617,0.5780486980018377,0.868355178177983,552,0.6935010342296657,0.5939579539249998,0.5851400513384993,0.9280793748714785,0.2598365329785212,0
pair2_3,old,3995,2086,-0.35530935903365385,0.5899099456889537,0.7755598201306364,1503,583,0.7205177372962608,0.0,0.9982657657657658,1,0.32070949185043146,0.5212599386704008,0.28454350606992485,0.0665335994677312,0.9759862778730704,0
pair2_3,dsrc,3995,2086,0.1425044322099644,0.8557407768796312,0.9435409495992081,1503,583,0.7205177372962608,0.0,0.9982657657657658,1,0.7986577181208053,0.7568613487718674,0.7533557046979866,0.8516300731869594,0.6620926243567753,0
pair3_0,old,1273,860,-0.0028499521941344566,0.799557289248011,0.9171643573412802,666,194,0.7744186046511627,0.5174679487179488,0.9880098679788121,8,0.7325581395348837,0.7451317296678122,0.6857204596298556,0.7222222222222222,0.7680412371134021,0
pair3_0,dsrc,1273,860,0.14792981894814117,0.8536655211912944,0.9477463956954789,666,194,0.7744186046511627,0.626018772893773,0.9906294533623726,8,0.8372093023255814,0.7451162502708895,0.7560698888132517,0.9129129129129129,0.5773195876288659,0
pair3_1,old,1888,1397,-0.012389669147462158,0.800394374581442,0.9668296942960584,1246,151,0.8919112383679313,0.5041666666666667,0.9942804670077399,8,0.6148890479599141,0.7113597950527781,0.5252621339599283,0.5882825040128411,0.8344370860927153,0
pair3_1,dsrc,1888,1397,0.17054999583021943,0.8535445877137967,0.9743147526948716,1246,151,0.8919112383679313,0.4375,0.9930063623245441,8,0.8697208303507517,0.7698276870090248,0.7203443148021047,0.8972712680577849,0.6423841059602649,0
pair3_2,old,713,447,-0.11394896167023487,0.6370961834297854,0.9092781667488508,374,73,0.8366890380313199,0.0,0.9963768115942029,1,0.4809843400447427,0.6402278221375723,0.4605493133583022,0.4037433155080214,0.8767123287671232,0
pair3_2,dsrc,713,447,0.2442236842187892,0.826386345322687,0.9620892553581927,374,73,0.8366890380313199,0.0,0.9963768115942029,1,0.8232662192393736,0.6242766097721779,0.6374770298432383,0.9197860962566845,0.3287671232876712,0
