group,field,targets,mean,std,median,p05,p25,p50,p75,p95,ci95_low,ci95_high
class3,B_S,145803,0.3491765561731999,0.1939815653646602,0.36023974418640137,0.006617856025695801,0.22147902846336365,0.36023974418640137,0.4957566410303116,0.6383591651916504,0.33602776338957213,0.36164854305352917
class3,B_D,145803,0.2586366270179832,0.3042651904477555,0.35584503412246704,-0.2887755066156387,0.0004961937665939331,0.35584503412246704,0.5182826519012451,0.6227149605751037,0.23736477612939344,0.27966158516560985
class3,B_family,145803,0.3039065916190977,0.20102737930026734,0.3150864243507385,0.01462932974100113,0.10722209513187408,0.3150864243507385,0.47989779710769653,0.6084542751312255,0.28743251069352976,0.3200526029898711
boundary,B_S,201144,0.15881903544048334,0.13540210733502295,0.16944819688796997,-0.08178462088108061,0.08123435080051422,0.16944819688796997,0.24120523035526276,0.36770970672369,0.1556876092339768,0.16210240298755443
boundary,B_D,201144,0.033166418054380725,0.156368399559405,0.028007209300994873,-0.20819107294082642,-0.07337296009063721,0.028007209300994873,0.12847337126731873,0.29678247570991484,0.02927111159139958,0.037079223095178256
boundary,B_family,201144,0.09599272675053422,0.09260865126951483,0.0728515088558197,0.002178743481636048,0.031073734164237976,0.0728515088558197,0.13320907950401306,0.2760045632719991,0.09355901016188672,0.09852689384224397
interior,B_S,2277999,0.11668388846705786,0.15125445726570977,0.10799318552017212,-0.10105570554733276,0.006210446357727051,0.10799318552017212,0.20905742049217224,0.3776342988014222,0.1136390672498084,0.11972987004443279
interior,B_D,2277999,0.0680622251133529,0.15316806251797413,0.06683754920959473,-0.17389585971832275,-0.01582920551300049,0.06683754920959473,0.14023953676223755,0.32453584671020513,0.06522821764964569,0.07098909633541188
interior,B_family,2277999,0.09237305679112036,0.10655137164314119,0.05981612205505371,0.0015110045671463015,0.02197503298521042,0.05981612205505371,0.1239669919013977,0.30311881601810464,0.08993988709356601,0.09488497800435533
Q1,B_S,495830,-0.02519409631212549,0.10664512519928676,-0.035637885332107544,-0.17879647016525269,-0.08249281346797943,-0.035637885332107544,0.013280056416988373,0.1762545585632324,-0.02701596349545142,-0.023364478335627863
Q1,B_D,495830,0.046669154497965264,0.11039931622139919,0.05725857615470886,-0.16098269522190095,0.00567096471786499,0.05725857615470886,0.10656487941741943,0.20687534511089323,0.04474298048174297,0.048602139259921094
Q1,B_family,495830,0.010737529092919886,0.008952700080065218,0.009209111332893372,0.00026938319206237793,0.003618679940700531,0.009209111332893372,0.016600146889686584,0.027216440439224242,0.010626468193583304,0.010848240045153643
