group,targets,M_s_S,M_d_S,margin_S,M_s_D,M_d_D,margin_D
class3_Deep_Win,74336,0.37868125221827437,0.2105085996415701,-0.16817265255159702,0.09009873370334741,0.8158726321056907,0.7257738983623135
class3_Shallow_Win,418,0.1545233009561326,0.3807496307284068,0.22622632966087194,0.29986229880170395,0.4116260852067593,0.11176378564222862
class3_Both_Wrong,13975,0.36830499951815987,0.36059194348632545,-0.007713056109139233,0.20690431538734338,0.42420082964852773,0.21729651414942536
class3_pair0_1,6777,0.42990435787634773,0.3500129506717535,-0.07989140733542195,0.21729666649857193,0.37138826288401744,0.15409159625615743
class3_pair0_2,1817,0.33650170401124163,0.2871298026672811,-0.049371901368563426,0.15743633331263934,0.496013042115287,0.3385767086430047
class3_pair0_3,32874,0.3709436305442481,0.21005133803661438,-0.16089229249703832,0.08551335378662675,0.8091495692941388,0.7236362154287153
class3_pair1_0,2642,0.32864704181318205,0.4793061037786886,0.15065906196832657,0.1952346855013964,0.4983376873270055,0.3031030019162185
class3_pair1_2,1699,0.3276976761948087,0.27714156805416496,-0.05055610808802044,0.253604150497218,0.4398929471903211,0.18628879644392193
class3_pair1_3,39959,0.3931712811246073,0.21161362617675042,-0.18155765491522716,0.09371793408875483,0.8271210351111808,0.7334031010109856
class3_pair2_0,356,0.23393513924661982,0.4154991488275903,0.18156400929843441,0.23875769336726674,0.426643701246678,0.18788600667233296
class3_pair2_1,684,0.16645057434597385,0.3807190713194901,0.2142684967611094,0.14784393482460034,0.4300894655140215,0.2822455310083011
class3_pair2_3,1503,0.1626862487876546,0.1911315289044075,0.02844528025927063,0.0941706905774524,0.6638693261646225,0.5696986356349841
class3_pair3_0,194,0.17531506770972125,0.43450940930351767,0.2591943415553914,0.3674919244889698,0.42552072032517996,0.05802879545876046
class3_pair3_1,151,0.14944619275876228,0.33610839885196936,0.18666220579715753,0.2813702290199253,0.3664072644310874,0.08503703363486473
class3_pair3_2,73,0.10977043229321094,0.3302212604512907,0.22045082823462683,0.15838497214032057,0.468235437592415,0.3098504657614721
