group,score,targets,winner_targets,mean_score,auroc,auprc,positive,negative,prevalence,image_auroc,image_auprc,auc_images,accuracy,balanced_accuracy,macro_f1,deep_win_recall,shallow_win_recall,zero_ties
class3,sym,145803,74754,-0.053768296773986486,0.5847058944309763,0.9958697645630382,74336,418,0.9944083259758675,0.3408509823356585,0.9683239239354893,107,0.4550927040693475,0.5678179910382343,0.3186722661572108,0.4538178002582867,0.6818181818181818,0
boundary,old,201144,51796,-0.16634848209109315,0.5285647821773048,0.5032507023476379,25404,26392,0.49046258398331916,0.5305319167922461,0.6108852620677525,1838,0.5115839060931346,0.5046105794262863,0.43156067830623396,0.13903322311447017,0.8701879357381025,0
boundary,sym,201144,51796,-0.07035575542280854,0.5610801104649024,0.5245638762851024,25404,26392,0.49046258398331916,0.5528591669053194,0.6224967972813925,1838,0.5378021468839292,0.5352945595896592,0.5283355003821613,0.403834041883168,0.6667550772961504,0
interior,old,2277999,445833,-0.12057149440875001,0.6521162559651945,0.7906368786739685,289326,156507,0.6489559992194387,0.7464410084439812,0.8423746862918438,3155,0.5052788824515009,0.6040865096969221,0.4936253475301637,0.27241934703414145,0.9357536723597027,0
interior,sym,2277999,445833,-0.028198437589757014,0.8129784207610078,0.8746348230160564,289326,156507,0.6489559992194387,0.8015919659265556,0.8546756083675314,3155,0.7140162347784933,0.7364792170472999,0.7079601092372532,0.6610778153363334,0.8118806187582664,0
Q1,old,495830,726,-0.022376413525131776,0.7730417198808004,0.7561631763496173,348,378,0.4793388429752066,0.7865079365079365,0.9652144041696278,84,0.6887052341597796,0.6825852946542601,0.6787182881266987,0.5344827586206896,0.8306878306878307,0
Q1,sym,495830,726,-0.011638884413053127,0.8157574651827525,0.8092728801993143,348,378,0.4793388429752066,0.8273148148148147,0.9712427446102819,84,0.7410468319559229,0.7400337529647875,0.7402583562332057,0.7155172413793104,0.7645502645502645,0
Q2,old,495828,8527,-0.0690765678712799,0.7819226037898207,0.7747721593564075,4105,4422,0.4814119854579571,0.7583519541170921,0.8966034549218825,1089,0.6893397443415035,0.6813001485761316,0.670084707140373,0.4650426309378806,0.8975576662143826,0
Q2,sym,495828,8527,-0.030981066573501956,0.8179720377186154,0.8108701088807284,4105,4422,0.4814119854579571,0.7716208632966258,0.9016378455517784,1089,0.745162425237481,0.7440282531534554,0.7442972457124851,0.7135200974421437,0.774536408864767,0
Q3,old,495829,31591,-0.11058884103990815,0.7541399254055956,0.7298733809600101,14695,16896,0.46516412902408916,0.7355757423206786,0.8272032784917948,2293,0.6704124592447216,0.6531673663416231,0.6394543802487822,0.4056481796529432,0.900686553030303,0
Q3,sym,495829,31591,-0.03963038840622958,0.7971601924581387,0.7699153079887585,14695,16896,0.46516412902408916,0.7593542291132652,0.83267127623814,2293,0.7278971859073787,0.725816410962294,0.726125305158287,0.6959510037427696,0.7556818181818182,0
Q4,old,495828,83990,-0.1570192869172531,0.7297372470893084,0.725988872646328,43330,40660,0.5158947493749256,0.733233109102806,0.8087593267235784,2879,0.6064888677223479,0.615808542274261,0.5746503240826039,0.3226402030925456,0.9089768814559764,0
Q4,sym,495828,83990,-0.041441454993045364,0.7878534525925733,0.7791299664478338,43330,40660,0.5158947493749256,0.7685353801851111,0.8200264437852608,2879,0.7170496487677105,0.7190749301650847,0.7165766915724965,0.6553657973690283,0.7827840629611412,0
Q5,old,495828,372795,-0.26236726385588854,0.6739647181584913,0.8121685720056439,252252,120543,0.6766507061521748,0.7600184541442949,0.8521582927609026,3033,0.4647916415187972,0.5880892818242383,0.4539016263086977,0.23910216767359624,0.9370763959748803,0
Q5,sym,495828,372795,-0.034402520157997794,0.8040803717318381,0.8716745843911766,252252,120543,0.6766507061521748,0.7907389523142158,0.8516879845101166,3033,0.6869083544575437,0.7162543155620907,0.6775916802378781,0.6331922046207761,0.7993164265034054,0
Corrected_by_CH,old,305318,194430,-0.18117935559690845,0.6750528684286644,0.9808253653303489,186024,8406,0.9567659311834593,0.8283100480721328,0.9857295820271031,2229,0.3237463354420614,0.6388700721937961,0.2828951784101679,0.293919064206769,0.9838210801808233,0
Corrected_by_CH,sym,305318,194430,0.025445554882547818,0.9194487544294311,0.9958532834857664,186024,8406,0.9567659311834593,0.9124236067408663,0.990611032090238,2229,0.7351900426888854,0.8300915513560867,0.5368189562044332,0.7262073710919021,0.9339757316202713,0
Still_Wrong,old,378130,82721,-0.18968209683104204,0.4436232889225938,0.8362131523106016,69480,13241,0.8399318190060565,0.5573477582350755,0.8675846585362814,1921,0.24705939241546887,0.5116526011063576,0.2457709354611205,0.12246689694876223,0.9008383052639529,0
Still_Wrong,sym,378130,82721,-0.07636216766843622,0.5143738409861347,0.8625848632778885,69480,13241,0.8399318190060565,0.5557629387279646,0.8543822699221839,1921,0.407804547817362,0.5083108155670593,0.3837045029849455,0.3604778353483017,0.6561437957858168,0
Harmed_by_CH,old,69617,37080,-0.20425991594264006,0.4113214455741592,0.07269452232149476,3493,33587,0.0942017259978425,0.39765556942399105,0.35508463222828235,1138,0.7521035598705501,0.4331165680871971,0.4437316792119847,0.04008016032064128,0.8261529758537529,0
Harmed_by_CH,sym,69617,37080,-0.07199103575346089,0.2826580390278364,0.060332577410817566,3493,33587,0.0942017259978425,0.3200289395133262,0.3223084669776051,1138,0.4802049622437972,0.332664086195265,0.34690491893709985,0.1508731749212711,0.5144549974692589,0
Stable_Correct,old,1726078,183398,-0.09667000589679688,0.7983815226770559,0.6256117552740345,55733,127665,0.30389099117765733,0.773586282910251,0.7438466945376304,3055,0.7660770564564499,0.6464249627296689,0.6599762969314165,0.3413596971273752,0.9514902283319625,0
Stable_Correct,sym,1726078,183398,-0.03028253081779013,0.8803363946987934,0.7233062024982994,55733,127665,0.30389099117765733,0.8343354762331749,0.785666235391438,3055,0.8271900456929737,0.8006986992674758,0.7977384165064649,0.7331562987816913,0.8682410997532605,0
pair0_1,old,201473,172710,-0.14053923998340878,0.7275982993540516,0.7893509767286174,101044,71666,0.585050083955764,0.5525290276403323,0.8023692107574244,1073,0.5677609866249783,0.6215009134347457,0.5477773680609554,0.30556985075808557,0.9374319761114057,0
pair0_1,sym,201473,172710,0.006669836031903812,0.7898405096968543,0.8311415184754493,101044,71666,0.585050083955764,0.596759127959692,0.8133591803569973,1073,0.7230617798621968,0.7287213209826304,0.7207654801198693,0.695449507145402,0.7619931348198588,0
pair0_2,old,44977,34259,-0.16838759980907111,0.778376111540791,0.9653514661936241,30821,3438,0.8996468081380076,0.5532313793199317,0.9758396282894021,103,0.34011500627572316,0.6150345945651502,0.32541058943781426,0.27108140553518706,0.9589877835951134,0
pair0_2,sym,44977,34259,0.056449635617981136,0.8603328978400473,0.9782817306627124,30821,3438,0.8996468081380076,0.636399719114982,0.978897836794235,103,0.7441840100411571,0.7815899059024581,0.6158960405572275,0.7347912137828104,0.8283885980221058,0
pair0_3,old,63094,46193,-0.47681640692974653,0.5302749597997076,0.6987719260115012,32874,13319,0.7116662697811357,0.4455922408127411,0.8595447581684497,134,0.2915809754724742,0.5018794843990051,0.2292835373380331,0.005110421609782807,0.9986485471882274,0
