group,field,targets,mean,std,median,p05,p25,p50,p75,p95
Top20_Both_Wrong,T_SD,93112,0.5383297520558608,0.14698646312414781,0.5645058155059814,0.24710484817624093,0.4563128277659416,0.5645058155059814,0.6437422037124634,0.7343107104301452
Top20_Both_Wrong,T_DS,93112,0.49844155142946994,0.19008396559813506,0.5200033783912659,0.18861037790775298,0.3357212468981743,0.5200033783912659,0.6496952921152115,0.7848457008600235
Top20_Both_Wrong,T_DD,93112,0.580119591904744,0.21267072576182022,0.5871325135231018,0.2206093303859234,0.4241902083158493,0.5871325135231018,0.7377832978963852,0.9316110640764236
Deep_Correct,T_SS,1902567,0.8730290838184822,0.0929749975730267,0.897905170917511,0.685289716720581,0.8375633358955383,0.897905170917511,0.9377696514129639,0.9694662094116211
Deep_Correct,T_SD,1902567,0.7773451241427298,0.17867895642482268,0.8089708685874939,0.42968432009220126,0.6734637022018433,0.8089708685874939,0.9246432185173035,0.9916653871536255
Deep_Correct,T_DS,1902567,0.7774616359736894,0.14982442155922432,0.8170990347862244,0.4524722158908844,0.7059108018875122,0.8170990347862244,0.8883184194564819,0.9469661355018616
Deep_Correct,T_DD,1902567,0.8608151078730901,0.1543002420893508,0.9156159162521362,0.5447199046611786,0.7795705795288086,0.9156159162521362,0.9869926869869232,0.9998050332069397
Top20_Deep_Correct,T_SS,288998,0.8228915022221722,0.11300864807105684,0.8510158360004425,0.5911999076604844,0.775730311870575,0.8510158360004425,0.9021224081516266,0.9494307130575179
Top20_Deep_Correct,T_SD,288998,0.5192010272382815,0.16048657380239287,0.5427632629871368,0.21833161488175393,0.4166020452976227,0.5427632629871368,0.6388807594776154,0.7418323427438733
Top20_Deep_Correct,T_DS,288998,0.6056662468390521,0.17966287522384358,0.628298431634903,0.30875885486602783,0.452584370970726,0.628298431634903,0.7547535449266434,0.865936928987503
Top20_Deep_Correct,T_DD,288998,0.8230487531873922,0.17116099588997297,0.8708025813102722,0.4799316480755806,0.7238659262657166,0.8708025813102722,0.9679449498653412,0.9995133876800537
Deep_Wrong,T_SS,576576,0.8238977127318661,0.11195202670087895,0.8546155691146851,0.5908754616975784,0.7789303660392761,0.8546155691146851,0.9013944566249847,0.9458117634057999
Deep_Wrong,T_SD,576576,0.6232196872969716,0.1513811848328132,0.6413978636264801,0.33520177751779556,0.543403372168541,0.6413978636264801,0.7209608852863312,0.8457056730985641
