group,estimator,targets,accuracy,miou,dice,nll,brier,iou_class0,iou_class1,iou_class2,iou_class3
Q4,ctx_D,495828,0.7614253329783716,0.5688905621544871,0.7224444374335588,0.6260254937891895,0.3363082757479541,0.6361651048548977,0.6475150799455176,0.4956512503392851,0.4962308134782477
Q4,ctx_sym,495828,0.768270448623313,0.5655359779157945,0.7182651010227473,0.6340722131102584,0.3418955230537182,0.6523650022265678,0.6581916010231221,0.47915018785841407,0.4724371205550737
Q5,shallow,495828,0.3296102680768331,0.16821280476871564,0.2832000561741271,1.4207820878845225,0.7957707028066304,0.22264506097061953,0.23608775938951096,0.11565253347752791,0.09846586523720409
Q5,deep,495828,0.5952447219600345,0.42907081440531103,0.5949083687028047,3.088622360557845,0.7450487376856845,0.3008413678546925,0.39119948166152946,0.5130931139919006,0.5111492941131214
Q5,fixed_average,495828,0.6040017909436337,0.4390382603266616,0.6055357015439069,0.9849500364883117,0.5413402308695162,0.3197275642125933,0.40671847505116643,0.5044329112589166,0.5252740907839701
Q5,anchor_old,495828,0.6248376453124874,0.46015103240547617,0.6283946917473013,0.9653036021049014,0.5262727236939978,0.3723200624043683,0.4630689783677308,0.5002338257111527,0.5049812631386528
Q5,anchor_sym,495828,0.6540453544374258,0.495335031193935,0.6583359694416822,0.9193648093506611,0.489975226033381,0.3811164902491726,0.467005076142132,0.5233812949640287,0.6098372634204068
Q5,ctx_S,495828,0.5818287793347693,0.36179179857583765,0.5079433886547269,0.9572344994113038,0.530859274442708,0.4495932931742317,0.46986613509985337,0.44033428592915697,0.08737348010010852
Q5,ctx_D,495828,0.7044095936494107,0.5552204216902181,0.7110482278790113,0.7689598102282915,0.4073307109688406,0.46795385075998636,0.5212520203714434,0.5581065970928065,0.673569218536636
Q5,ctx_sym,495828,0.7171680502109603,0.573780916479171,0.7261963273625535,0.7607375477921386,0.41815891474886413,0.5003218795214512,0.5437993829626163,0.5461186502365726,0.7048837531960438
Corrected_by_CH,shallow,305318,0.14201914069920543,0.0768438050878706,0.14230073158108975,1.6046144869277101,0.9420526773304787,0.057348091065310434,0.08691791449348513,0.09772578801241222,0.0653834267802746
