draw,teacher-fixed_miou,teacher-fixed_accuracy,teacher-vs-rect_NetRepair,fixed-vs-rect_NetRepair,CCA:all:mean_dm,CCA:Top20:mean_dm,CCA:class0:mean_dm,CCA:class1:mean_dm,CCA:class2:mean_dm,CCA:class3:mean_dm,CCA:all:benefit_rate,CCA-U:all:benefit_rate,CCA-U:all:mean_dm,CCA-U:Top20:mean_dm,CCA-FA:all:benefit_rate,CCA-FA:all:mean_dm,CCA-FA:Top20:mean_dm
42,0.020022277000935174,0.011203526080389044,-0.03255107442327904,-0.04375460050366809,-0.0002912067212682048,-0.0006950830052368567,-0.00035442576223598994,-0.0002591635642408922,-0.0002835369530295635,-0.00011218572084929403,0.17781292408921637,0.0,-9.744835364143022e-05,-0.00041262836418380156,0.0010655604327007133,4.347084764547686e-05,0.00017590367471995234
43,0.018738172369524908,0.011084057055082927,-0.03230418199457405,-0.04338823904965698,-0.00029110888523269633,-0.0006900987317548581,-0.00037731205133619266,-0.0002506520765379394,-0.00025856282604133396,-9.690719398250004e-05,0.1798067827174158,0.0,-9.577495908717214e-05,-0.0004083135749051593,0.0010100598901831932,4.303900434033156e-05,0.0001725615620177292
44,0.019357376379098512,0.011518234984912848,-0.03130513350736513,-0.042823368492277976,-0.0002853829254658953,-0.0006730314052466002,-0.0003586689193553258,-0.0002583338545707555,-0.0002582822828060594,-5.6604076085888704e-05,0.18166150035002837,0.0,-9.471138411312596e-05,-0.00040561661473748826,0.001181699046647035,4.4271328948275984e-05,0.0001798103371475304
45,0.02034571979828581,0.011472593003613564,-0.03338746354074464,-0.04486005654435821,-0.0002924936074316479,-0.0006968743788605507,-0.00036570223045052404,-0.0002545928045103195,-0.00028557143944421163,-8.988411164919187e-05,0.1769819862143387,0.0,-9.612647083807462e-05,-0.0004136531056191493,0.0011295160985279997,4.3821226259632415e-05,0.00017825388570276765
46,0.018866455249220815,0.010668579132243028,-0.03140998062576316,-0.04207855975800619,-0.0002859903381982271,-0.0006733401234249505,-0.0003521532951153641,-0.00025392541679067826,-0.000258690929228702,-0.00013454732038267856,0.18221131800257973,0.0,-9.442817825235675e-05,-0.00039900398072063826,0.00110530688961137,4.218913043733722e-05,0.00016967684405599172
47,0.019716360025066382,0.011360638257776091,-0.032627791982628336,-0.04398843024040443,-0.00029349477209392443,-0.0006995800388616112,-0.00036552010894167814,-0.00026483543046772515,-0.000252742486767716,-0.00013915621261157633,0.17888425660809243,0.0,-9.798129454084836e-05,-0.00040638063179590094,0.0011088294189952692,4.3096460866783865e-05,0.00017105686689060078
48,0.020785527567869888,0.011462700198293941,-0.032716691300993965,-0.0441793914992879,-0.000285298379915914,-0.0006718176272917014,-0.0003582645788714147,-0.00024482941307878305,-0.00025933113376844946,-0.0001409541994982269,0.18096764066388474,0.0,-9.166371633226329e-05,-0.00039586525508895264,0.0011842163972567664,4.242796124854119e-05,0.00017100061950062418
49,0.019367988465843977,0.01130851857076641,-0.034238326514983576,-0.045546845085749986,-0.00029785528299903173,-0.0007139985037927365,-0.0003691213410046799,-0.00025900990638093606,-0.0002956150658030411,-0.00012066594932154843,0.17553817939985086,0.0,-9.662619580723443e-05,-0.000418384149760589,0.0011382277664698415,4.4295015287702347e-05,0.0001781326970821297
50,0.0202046167039297,0.011176037243484049,-0.03289574234262938,-0.04407177958611343,-0.0002894462222150596,-0.0006849106300625724,-0.00035711308191980654,-0.0002581556307420304,-0.00025665391424159977,-0.00012616080322164122,0.1794303661839257,0.0,-9.574496750275978e-05,-0.0004099124535852975,0.001195598644368233,4.314561248084247e-05,0.00017522516643691578
51,0.019280598706314378,0.01129556630720284,-0.03386000406085458,-0.04515557036805742,-0.00029027004385597904,-0.0006682994780870167,-0.0003551649866370164,-0.0002575559135622622,-0.00028057008711406233,-0.000140453777518033,0.1827186369765886,0.0,-8.996987741458731e-05,-0.00038520686889222875,0.0012542539878481758,4.296049468868278e-05,0.00016770032477294767
