draw,winner:all:image_auroc,gradient:all:image_auroc,winner:class0:image_auroc,winner:class1:image_auroc,winner:class2:image_auroc,winner:class3:image_auroc,delta-minus-q:image_auroc,HA:all:mean_dm,HA:Top20:mean_dm,HA:class0:mean_dm,HA:class1:mean_dm,HA:class2:mean_dm,HA:class3:mean_dm,HA:Rect_Correct:harm_rate,HA:Rect_Wrong:benefit_rate,HA:all:active_fraction,HA-CCA:all:mean_dm,HA-CCA:all:harm_rate,HA-CCA:Top20:mean_dm,HA-CCA:Top20:harm_rate,HA-CCA:Rect_Correct:mean_dm,HA-CCA:Rect_Correct:harm_rate,HA-CCA:Rect_Wrong:mean_dm,HA-CCA:Rect_Wrong:harm_rate,Accepted:teacher-rect_accuracy_delta,Accepted:NetRepair_rate,Accepted:NetRepair_count,winner:Teacher-Win_recall,winner:Rect-Win_recall,winner:zero-sign_BA
30,0.6214650500781786,0.5290396305362608,0.5809317249253448,0.7012048686402415,0.40230375134087726,0.6665016356071187,0.005509965422155972,-0.0002310263947521406,-0.00046046972986918833,-0.000279860139173781,-0.00018478407322067154,-0.00029248754495542575,-9.495048140657636e-05,0.8422535197402746,0.7344194203016456,0.8376612143772305,5.7135871867273474e-05,-0.1258577554674459,0.00021617997034266195,-0.19823748504462305,6.331341427378438e-05,-0.13242118360926208,2.8772834831324328e-05,-0.09572299584638401,-0.011923091212540404,-0.011923091212540404,-24711.00000000002,0.6966449207828518,0.48130725576402333,0.5889760882734376
31,0.6196042988233871,0.52649014958641,0.5664370075595169,0.7086986428340264,0.40971991537301844,0.6605384773579329,0.0063825468111640285,-0.0002313260536630501,-0.0004715580163246172,-0.0002795126631095819,-0.0001720274063214011,-0.0003173362528357615,-0.00014801034438278017,0.8440676911006844,0.7352568202490632,0.8392119324859749,5.495480960817794e-05,-0.12383831529970557,0.00020218340532233902,-0.19056304850847386,6.163610881969829e-05,-0.13017390148694935,2.5025907810123073e-05,-0.09545803613121967,-0.012652141898037856,-0.012652141898037856,-26289.000000000022,0.6966396977662468,0.4746885974127322,0.5856641475894895
32,0.6181217865695416,0.5275673069764437,0.5238277983707559,0.6966393038937061,0.4202751743107202,0.6799829389112608,0.009938418481666938,-0.00022858593667052265,-0.0004606074034893437,-0.00027692140016318456,-0.00018066931102143376,-0.00027809525315891165,-0.00014790564543039523,0.8435968443673301,0.7373638596955314,0.8390735888175441,5.522477112899702e-05,-0.12319632293251442,0.00020065009429193686,-0.18813740673531137,6.198916203815066e-05,-0.13020170425500704,2.5528476529095846e-05,-0.09244205838286025,-0.011988888931504117,-0.011988888931504117,-25007.00000000002,0.7019198039349173,0.47847438599019027,0.5901970949625538
33,0.6313228940834618,0.5253659309552078,0.5561620337336879,0.7164136646647336,0.40949797095706847,0.7048999894557355,0.011077180622593052,-0.00023221479339045192,-0.0004629623987562284,-0.0002842962392342911,-0.00016373671223289085,-0.00030753856526809757,-0.00020302917482131966,0.8432751296610317,0.7350872402943547,0.8386067805908486,5.39014003608293e-05,-0.12344403243288227,0.000192608474482891,-0.18428920957110317,5.9848340499701955e-05,-0.1296997624019008,2.794909761495656e-05,-0.0961441783463782,-0.011842218087960854,-0.011842218087960854,-24583.00000000002,0.7133133648963467,0.46891099506986783,0.5911121799831073
34,0.6278288529080657,0.5253629927451693,0.5470205579875493,0.7245453912048531,0.3864129442016625,0.6627692147027628,0.012358564187118906,-0.00022612059882261637,-0.00044696238737279657,-0.00028342012839882927,-0.00017369961468980056,-0.0002764695678458153,-0.00012307360086854531,0.8423754162268526,0.734297410184824,0.8374645668084331,5.5821131071166934e-05,-0.12454249986183728,0.0002146649789301306,-0.19689313277532353,6.169991571236697e-05,-0.1311062055190383,2.976380457047743e-05,-0.09544930597862054,-0.01071750956868888,-0.01071750956868888,-22250.00000000001,0.6948156432231339,0.4905289218720317,0.5926722825475828
35,0.6175295760359967,0.5210936496942477,0.5391492097824402,0.7079124850613625,0.38933560786490296,0.6542264240475645,0.004279782931901445,-0.00023675749627420533,-0.000489960889037699,-0.0002838741664332348,-0.0001867228051502165,-0.0002970300451646973,-0.00016621560845182253,0.8437353802138483,0.7334522674283316,0.8387954378079566,5.660814508174961e-05,-0.1249023890790498,0.0002135975337083444,-0.19489087961994367,6.308541150091847e-05,-0.1311351556735693,2.6506894365557264e-05,-0.09593738165525234,-0.013386985303502068,-0.013386985303502068,-27796.00000000001,0.6986225895316804,0.47454875599754687,0.5865856727646137
36,0.62000873186965,0.5269647442481706,0.544863236953993,0.717693077746231,0.3949897954196106,0.6770484500279421,0.003511124834880179,-0.0002293703002329575,-0.0004602990527379775,-0.00028192842152746563,-0.0001767659870194289,-0.0003121703105442317,-7.053257000930178e-05,0.841660429187942,0.7343846772682691,0.8370879342632055,5.378448191930461e-05,-0.12452699212191656,0.00020122526346183213,-0.19263591646711217,6.0283819475223036e-05,-0.13113230618733188,2.478983412669831e-05,-0.09505956513593634,-0.011258360843217526,-0.011258360843217526,-23351.000000000015,0.6974152910512598,0.47778301239809884,0.5875991517246792
37,0.6120065338476482,0.5213763216336904,0.5558732682297285,0.6992699889191711,0.3989462771713655,0.662295075533728,-0.0069767641514616955,-0.00023970043233594612,-0.0004986171092684822,-0.0002823465940522689,-0.00019321700402641836,-0.0003089470721745655,-0.00014730495868015025,0.8443197217654197,0.7319775117425705,0.8387010974197115,5.484250727104975e-05,-0.12443665922676106,0.0001989866514179603,-0.18949579571321948,6.07982633440401e-05,-0.130699985533219,2.766724068711379e-05,-0.0958579934798423,-0.013953862167834221,-0.013953862167834221,-28996.000000000015,0.6932299259432037,0.46964953943580884,0.5814397326895062
38,0.6179660177846331,0.5250148221071819,0.5350992958926307,0.7120735741905165,0.4167822167640304,0.6520768433532174,0.006839021081963392,-0.00024617917512482926,-0.0005263923362442592,-0.0002885470321297475,-0.00020182006877487446,-0.0003108804163231253,-0.00012858455948130978,0.8439323912604777,0.7334565585645321,0.8386861892595535,5.538206397447107e-05,-0.12459608846977197,0.00020780133860766166,-0.19698282054098817,6.201144706983184e-05,-0.1303845566991027,2.4797868879682575e-05,-0.09789139527596245,-0.015207187010441346,-0.015207187010441346,-31529.000000000025,0.6926908903213416,0.4786061105365563,0.5856485004289489
39,0.6300998355210505,0.5302244740562139,0.5554654926787158,0.7039503151576617,0.4089342658079553,0.695352939723651,0.007173519417476192,-0.0002372574505592125,-0.0004828001136328564,-0.0002747054883288563,-0.00018855599331070273,-0.0003098513576194779,-0.00018021073436464623,0.8440054121352798,0.7358210719535015,0.8396065124697064,5.48970443825766e-05,-0.12371970290468252,0.00020045356682153853,-0.1882470241372139,6.012484088556135e-05,-0.12969977966561017,3.114705919634045e-05,-0.09655209330023486,-0.013152705086591238,-0.013152705086591238,-27445.00000000002,0.7072813383760946,0.47359434864495387,0.5904378435105242
