stratum,quantity,count,mean,std,median,min,max
Rect-Win,S_T,168626,0.7207568549733627,0.09859108843024339,0.7402921915054321,0.09940437972545624,0.9244384169578552
Rect-Win,delta,168626,-0.003598611213817118,0.15049294865522894,0.007267087697982788,-0.7873077988624573,0.7027570605278015
class0,R_S,965133,0.8295061443251565,0.09320406757518374,0.8421280980110168,0.16534702479839325,0.9978228211402893
class0,R_D,965133,0.8329075372937718,0.16736749134920587,0.8807468414306641,0.014091230928897858,1.0
class0,T_S,965133,0.8809990219303095,0.09068418461685834,0.9057237505912781,0.13681328296661377,0.9988170862197876
class0,T_D,965133,0.8265255764461873,0.14712291889804507,0.857265293598175,0.029423387721180916,0.9999984502792358
class0,S_R,965133,0.8312068407995086,0.12159060696483841,0.8542275428771973,0.11986741423606873,0.9989097714424133
class0,S_T,965133,0.8537622991959923,0.11179084773174226,0.8799015283584595,0.10570432245731354,0.9987704753875732
class0,delta,965133,0.022555458396854307,0.0642561328763536,0.015268146991729736,-0.7811511754989624,0.7168903350830078
class1,R_S,1044692,0.78579787199777,0.097915658392292,0.7956510186195374,0.1691502034664154,0.995284914970398
class1,R_D,1044692,0.8247285678972063,0.16915361778219787,0.8719366788864136,0.005856967065483332,1.0
class1,T_S,1044692,0.8573440273744946,0.09058804645067006,0.8786395788192749,0.16257455945014954,0.9946753978729248
class1,T_D,1044692,0.8097231952341322,0.14449898939964223,0.835259199142456,0.026427725329995155,0.9999977350234985
class1,S_R,1044692,0.8052632199378617,0.11808034824241027,0.8258926868438721,0.11223627626895905,0.9975722432136536
class1,S_T,1044692,0.8335336113278262,0.10666796122063574,0.8556547164916992,0.09940437972545624,0.9970654249191284
class1,delta,1044692,0.0282703913894082,0.0670885831201968,0.022133857011795044,-0.7873077988624573,0.7804721593856812
class2,R_S,323515,0.6785973315192672,0.11776138541266712,0.6881965398788452,0.21399544179439545,0.9733519554138184
class2,R_D,323515,0.769622383826051,0.17531664805896618,0.7843565940856934,0.009925714693963528,1.0
class2,T_S,323515,0.7922845060039322,0.10398359027409947,0.8200372457504272,0.1988900601863861,0.9860997796058655
class2,T_D,323515,0.7532344525397626,0.15214679782496304,0.7682348489761353,0.02540389634668827,0.9999984502792358
class2,S_R,323515,0.7241098576504365,0.12237841005882527,0.7374773621559143,0.15930253267288208,0.9866592884063721
class2,S_T,323515,0.7727594792969991,0.10973311316665788,0.7929286956787109,0.13055796921253204,0.9885175228118896
class2,delta,323515,0.04864962164605601,0.08478758897320797,0.03840041160583496,-0.8131639957427979,0.7027570605278015
