signal_set,signal,scope,scope_id,branch,samples,spearman_relative_utility,spearman_absolute_utility
A,cam_class0_std,branch,3,camdeep,3418,0.12408446303184943,-0.035857201446288525
A,cam_class0_max,all,-1,all,13672,0.017675994826514174,-0.05158892201922417
A,cam_class0_max,fold,0,all,2748,0.025635304144282972,-0.02125659589471248
A,cam_class0_max,fold,1,all,2744,0.016825996557086633,-0.17418014271459206
A,cam_class0_max,fold,2,all,2692,0.05380218833326155,-0.05786498453606897
A,cam_class0_max,fold,3,all,2724,-0.008473091316425001,0.03999521064780077
A,cam_class0_max,fold,4,all,2764,-0.006411618237698665,-0.05978609021442744
A,cam_class0_max,branch,0,cam56,3418,0.004453795034534321,-0.03433993914244354
A,cam_class0_max,branch,1,cam28_1,3418,0.04546540904889318,-0.0744778833427979
A,cam_class0_max,branch,2,cam28_2,3418,0.03399578556734185,-0.06718714594826922
A,cam_class0_max,branch,3,camdeep,3418,0.018870041600956993,-0.03415199618109172
A,cam_class0_p90,all,-1,all,13672,0.1213255902340714,0.0331063917407157
A,cam_class0_p90,fold,0,all,2748,0.09708329763320374,0.039566957127084426
A,cam_class0_p90,fold,1,all,2744,0.10840929709158938,-0.35833828691890723
A,cam_class0_p90,fold,2,all,2692,0.10503728458019401,0.17773797208372857
A,cam_class0_p90,fold,3,all,2724,0.16091450850541678,0.17514618173704918
A,cam_class0_p90,fold,4,all,2764,0.06900878124718625,0.044853517946237764
A,cam_class0_p90,branch,0,cam56,3418,0.15292825722958298,0.09332009007331964
A,cam_class0_p90,branch,1,cam28_1,3418,0.17051526982795384,0.058547245731819395
A,cam_class0_p90,branch,2,cam28_2,3418,0.0646202163054377,0.01905615036727074
A,cam_class0_p90,branch,3,camdeep,3418,0.15372848209863454,0.05642164441805568
A,cam_class0_p95,all,-1,all,13672,0.12492742274419141,0.017958388989424454
A,cam_class0_p95,fold,0,all,2748,0.10108998478718294,0.02978915512868795
A,cam_class0_p95,fold,1,all,2744,0.11565396267882129,-0.3601173520282768
A,cam_class0_p95,fold,2,all,2692,0.10884782863044962,0.15696463717407225
A,cam_class0_p95,fold,3,all,2724,0.1631201184955106,0.15171610406175406
A,cam_class0_p95,fold,4,all,2764,0.07241394706645791,0.03131942573779366
A,cam_class0_p95,branch,0,cam56,3418,0.15347622158073598,0.08435405697828144
A,cam_class0_p95,branch,1,cam28_1,3418,0.1723125794641146,0.049994947254868104
A,cam_class0_p95,branch,2,cam28_2,3418,0.06364069737289298,-0.01776306854564801
A,cam_class0_p95,branch,3,camdeep,3418,0.146978995519727,0.024966198114116534
A,cam_class0_p99,all,-1,all,13672,0.1210798349984922,-0.004698873426543493
A,cam_class0_p99,fold,0,all,2748,0.1187212062328986,0.0045099936542962625
A,cam_class0_p99,fold,1,all,2744,0.09703270987091876,-0.3431388956304237
A,cam_class0_p99,fold,2,all,2692,0.12052304242042734,0.11396337224532095
A,cam_class0_p99,fold,3,all,2724,0.1449193365436684,0.1346102160049609
A,cam_class0_p99,fold,4,all,2764,0.06624251077367645,0.0007454311655465545
A,cam_class0_p99,branch,0,cam56,3418,0.15479939237086782,0.07397228772814138
A,cam_class0_p99,branch,1,cam28_1,3418,0.1648277080118256,0.040134601964097814
A,cam_class0_p99,branch,2,cam28_2,3418,0.035975608430773486,-0.07653971703975258
A,cam_class0_p99,branch,3,camdeep,3418,0.11212825208428154,-0.041567044464944886
A,cam_class0_spatial_entropy,all,-1,all,13672,0.1310474706642049,0.0914773852595729
A,cam_class0_spatial_entropy,fold,0,all,2748,0.10582525188898936,0.09415311626137703
A,cam_class0_spatial_entropy,fold,1,all,2744,0.12417363125177378,-0.3603707410230951
A,cam_class0_spatial_entropy,fold,2,all,2692,0.13373239515728005,0.27710749914278554
A,cam_class0_spatial_entropy,fold,3,all,2724,0.1723960078756788,0.27847059224272314
A,cam_class0_spatial_entropy,fold,4,all,2764,0.04731350814137297,0.0677597353557227
A,cam_class0_spatial_entropy,branch,0,cam56,3418,0.16305549387953286,0.11754221042787906
A,cam_class0_spatial_entropy,branch,1,cam28_1,3418,0.18328593132838186,0.09923388833453536
A,cam_class0_spatial_entropy,branch,2,cam28_2,3418,0.07718435038385914,0.09900795873822024
A,cam_class0_spatial_entropy,branch,3,camdeep,3418,0.1695769115950849,0.1301010324617798
A,cam_class0_top10_mass_ratio,all,-1,all,13672,-0.12147626669127366,-0.09997701893687658
A,cam_class0_top10_mass_ratio,fold,0,all,2748,-0.0899423141081902,-0.08068125223080799
A,cam_class0_top10_mass_ratio,fold,1,all,2744,-0.11090441905201395,0.27518649448195126
A,cam_class0_top10_mass_ratio,fold,2,all,2692,-0.10809212965777282,-0.2759436941455901
A,cam_class0_top10_mass_ratio,fold,3,all,2724,-0.17391433368538337,-0.23476979962664207
A,cam_class0_top10_mass_ratio,fold,4,all,2764,-0.05854687704376246,-0.07992005543028019
A,cam_class0_top10_mass_ratio,branch,0,cam56,3418,-0.16467638454448896,-0.11602491381735458
A,cam_class0_top10_mass_ratio,branch,1,cam28_1,3418,-0.1703235231836321,-0.11044458518274655
A,cam_class0_top10_mass_ratio,branch,2,cam28_2,3418,-0.055585749325222485,-0.14235314228704093
A,cam_class0_top10_mass_ratio,branch,3,camdeep,3418,-0.16137510135125815,-0.13693050555669703
A,cam_class0_top20_mass_ratio,all,-1,all,13672,-0.12122316288240897,-0.10571946948383287
A,cam_class0_top20_mass_ratio,fold,0,all,2748,-0.09273914494159947,-0.08590307327994831
A,cam_class0_top20_mass_ratio,fold,1,all,2744,-0.10820298652144174,0.27513786157101977
A,cam_class0_top20_mass_ratio,fold,2,all,2692,-0.10997186152931475,-0.2850474636741269
A,cam_class0_top20_mass_ratio,fold,3,all,2724,-0.17469472062156163,-0.24764778631918075
