signal_set,signal,scope,scope_id,branch,samples,positive_fraction,auroc_relative_gain_positive
A,pred_class0_mean_component_size,fold,1,all,2744,0.20298833819241982,0.4549192675176229
A,pred_class0_mean_component_size,fold,2,all,2692,0.23068350668647847,0.28997364883200333
A,pred_class0_mean_component_size,fold,3,all,2724,0.19823788546255505,0.3320521299687967
A,pred_class0_mean_component_size,fold,4,all,2764,0.3386396526772793,0.4015171173951262
A,pred_class0_mean_component_size,branch,0,cam56,3418,0.22440023405500292,0.3651289985772017
A,pred_class0_mean_component_size,branch,1,cam28_1,3418,0.2864248098303101,0.3593836704454889
A,pred_class0_mean_component_size,branch,2,cam28_2,3418,0.2393212404915155,0.3251064980252022
A,pred_class0_mean_component_size,branch,3,camdeep,3418,0.21181977764774723,0.35818726492676584
A,pred_class0_boundary_density,all,-1,all,13672,0.24049151550614395,0.6633358709262612
A,pred_class0_boundary_density,fold,0,all,2748,0.23071324599708878,0.592312329699256
A,pred_class0_boundary_density,fold,1,all,2744,0.20298833819241982,0.6787533482903298
A,pred_class0_boundary_density,fold,2,all,2692,0.23068350668647847,0.7182656592729443
A,pred_class0_boundary_density,fold,3,all,2724,0.19823788546255505,0.6942460317460318
A,pred_class0_boundary_density,fold,4,all,2764,0.3386396526772793,0.6227855159064131
A,pred_class0_boundary_density,branch,0,cam56,3418,0.22440023405500292,0.6689343078329646
A,pred_class0_boundary_density,branch,1,cam28_1,3418,0.2864248098303101,0.6942843585739228
A,pred_class0_boundary_density,branch,2,cam28_2,3418,0.2393212404915155,0.6346325465488057
A,pred_class0_boundary_density,branch,3,camdeep,3418,0.21181977764774723,0.6634435742205925
A,pred_class0_argmax_presence,all,-1,all,13672,0.24049151550614395,0.4634730719917223
A,pred_class0_argmax_presence,fold,0,all,2748,0.23071324599708878,0.40834350536755115
A,pred_class0_argmax_presence,fold,1,all,2744,0.20298833819241982,0.4884719482432096
A,pred_class0_argmax_presence,fold,2,all,2692,0.23068350668647847,0.4702785417206092
A,pred_class0_argmax_presence,fold,3,all,2724,0.19823788546255505,0.4610653235653236
A,pred_class0_argmax_presence,fold,4,all,2764,0.3386396526772793,0.49208887392694833
A,pred_class0_argmax_presence,branch,0,cam56,3418,0.22440023405500292,0.4853397183026552
A,pred_class0_argmax_presence,branch,1,cam28_1,3418,0.2864248098303101,0.4660530006730098
