replicate,sampling_unit,sampled_slides,delta_mIoU
528,source_slide,22,-0.6684362431294666
529,source_slide,22,-0.9167078509754734
530,source_slide,22,-0.8543278490288797
531,source_slide,22,-0.6971320362897715
532,source_slide,22,-0.8146526614107752
533,source_slide,22,-0.9839890709344656
534,source_slide,22,-0.4984470997475232
535,source_slide,22,-0.8469792588224445
536,source_slide,22,-0.43667982526742755
537,source_slide,22,-0.9809662543472042
538,source_slide,22,-0.8585250766721897
539,source_slide,22,-0.7426643306537972
540,source_slide,22,-0.807892944731714
541,source_slide,22,-0.5757974024924173
542,source_slide,22,-0.8349577669591768
543,source_slide,22,-0.6854911107225581
544,source_slide,22,-0.7721406494977767
545,source_slide,22,-0.7741813245459528
546,source_slide,22,-0.8815918741727602
547,source_slide,22,-0.6537240843368708
548,source_slide,22,-0.5251484606090484
549,source_slide,22,-0.8006704979085066
550,source_slide,22,-0.7633244915412396
551,source_slide,22,-0.7080690315032889
552,source_slide,22,-0.9930754210840886
553,source_slide,22,-0.8789984066806977
554,source_slide,22,-0.718139701626408
555,source_slide,22,-0.25102716464875385
556,source_slide,22,-0.5215027727149879
557,source_slide,22,-0.7068607017402417
558,source_slide,22,-0.7080339147839676
559,source_slide,22,-0.9104195188556319
560,source_slide,22,-0.7469304472468852
561,source_slide,22,-0.7534635303730997
562,source_slide,22,-0.8617772438929472
563,source_slide,22,-0.597987174501835
564,source_slide,22,-0.4950175660068279
565,source_slide,22,-0.8322884018043486
566,source_slide,22,-0.6115519161262961
567,source_slide,22,-0.7457931501168358
568,source_slide,22,-0.6590740351786972
569,source_slide,22,-0.84571204774746
570,source_slide,22,-0.9098301701501943
571,source_slide,22,-0.2664334452803896
572,source_slide,22,-0.6404094137527627
573,source_slide,22,-0.7829712248702103
574,source_slide,22,-0.7385088594073275
575,source_slide,22,-0.527316939294975
576,source_slide,22,-0.7080434408324621
577,source_slide,22,-0.8423271103255359
578,source_slide,22,-0.4884777452066613
579,source_slide,22,-0.8607945242267601
580,source_slide,22,-0.8614999944265067
581,source_slide,22,-0.5018736792481215
582,source_slide,22,-0.8699074284383435
583,source_slide,22,-0.5972241924515731
584,source_slide,22,-0.5584319288146178
585,source_slide,22,-1.000105282004593
586,source_slide,22,-0.6049515493508295
587,source_slide,22,-0.6965123878422186
588,source_slide,22,-0.7538779840301157
589,source_slide,22,-0.7209102593988215
590,source_slide,22,-0.7556960221706155
591,source_slide,22,-0.8564887786846387
592,source_slide,22,-0.7663445217889198
593,source_slide,22,-0.6745721302525487
594,source_slide,22,-1.0087938604280922
595,source_slide,22,-0.7364402322002861
596,source_slide,22,-0.7311507552327567
597,source_slide,22,-0.8458194748165004
598,source_slide,22,-0.6883335688257719
599,source_slide,22,-0.8328013437568393
600,source_slide,22,-0.6556446948026373
601,source_slide,22,-0.6623337613177904
602,source_slide,22,-0.422485221505009
603,source_slide,22,-0.7877614539178124
604,source_slide,22,-0.6015681331428935
605,source_slide,22,-0.8544853787449513
606,source_slide,22,-0.8874381376982599
607,source_slide,22,-0.8270895624227559
608,source_slide,22,-0.6419819441275454
609,source_slide,22,-0.5433134883682911
610,source_slide,22,-0.7744399625102649
611,source_slide,22,-0.5557550895197494
612,source_slide,22,-0.5626231722884234
613,source_slide,22,-0.7959035778675183
614,source_slide,22,-1.1334102378912303
615,source_slide,22,-0.588123546136532
616,source_slide,22,-0.7497400419467115
617,source_slide,22,-0.7614007400386202
