image_id,class,entropy,normalized_entropy,effective_query_count,dominant_share,top1_mass,top3_mass,top5_mass,top10_mass,top20_mass,gini,diffuseness_bin
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+61,3,4.918733030620796,0.9319109849231442,136.82914498334605,0.031026548255063933,0.031026548255063933,0.08219785184277155,0.12141204440824244,0.201004787666448,0.3210510614677089,0.4622807895308172,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+62,0,4.432826131595947,0.8398502908313473,84.16895363641416,0.029254990592499884,0.029254990592499884,0.08562446088478723,0.13594107558988092,0.24890812874491713,0.4411657065853581,0.6793446678223622,diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+62,1,5.261567552061439,0.9968649587518642,192.78345266396676,0.006588223067276354,0.006588223067276354,0.01965206158991012,0.032509861752255155,0.06413912446353086,0.12683713617638073,0.10153727696911741,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+62,2,4.739260601835273,0.8979078530526273,114.349620514887,0.02646117171810266,0.02646117171810266,0.07002780407620364,0.10870250428836312,0.1937129364836646,0.33939225420202973,0.5624659930274742,diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+62,3,4.9899447601301725,0.9454028724828126,146.92830697096792,0.015270310733613601,0.015270310733613601,0.04466302681519428,0.0729225691718834,0.13678036601151253,0.2548117218619612,0.4232082834080346,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+63,0,4.326113748728642,0.8196323930104495,75.64972073810752,0.040078550452857895,0.040078550452857895,0.10129538509340366,0.15502511152215037,0.2771244714213236,0.47852541007811916,0.7137361566570661,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+63,1,5.16707104360616,0.9789614999306314,175.400344427719,0.009855146705700755,0.009855146705700755,0.028794705479492234,0.04689266248566697,0.08951303531661532,0.1715148794214952,0.2566085438033989,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+63,2,4.774336102298004,0.90455331316998,118.4316620067175,0.017994446637151273,0.017994446637151273,0.05327823752752134,0.08682112593995948,0.16197649350706417,0.2979774392398055,0.5344113315068788,diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+63,3,5.058428529483036,0.9583779163714666,157.34306195775605,0.014380310249957375,0.014380310249957375,0.04295986210050884,0.07020585048708657,0.1336918134140223,0.24657323049905042,0.3727492370578416,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+64,0,4.882733162353901,0.9250903926110886,131.99092396135282,0.01457070122076462,0.01457070122076462,0.04063627110113117,0.06518539075535817,0.12238146138189263,0.22736834433950537,0.4468073548684124,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+64,1,4.595877030675438,0.8707421735596512,99.0749892601655,0.0202778432302763,0.0202778432302763,0.05813268486447043,0.09453484952163554,0.17798872600115231,0.3128702024134626,0.5985432327500255,diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+64,2,3.76723368562678,0.7137460871636304,43.26022776890638,0.12951144751673987,0.12951144751673987,0.30999757024750924,0.4392948955255709,0.5898035993675804,0.7435577957193887,0.793291770694633,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+64,3,4.299002856376938,0.8144959202162688,73.62634104779507,0.06909775972956231,0.06909775972956231,0.17345885787379964,0.2569305762113651,0.41629701616385156,0.583476798302208,0.6998129078654667,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+65,0,5.249152021366441,0.9945126925552052,190.4047408303678,0.006900091358579135,0.006900091358579135,0.020649422930597655,0.03416347959711341,0.06737287414124044,0.13315631961017232,0.13052520093447328,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+65,1,3.3712266075262125,0.6387179561608264,29.114216882166122,0.08381337781607069,0.08381337781607069,0.21989758134374293,0.35113691854599316,0.5777693064230092,0.8617460818911193,0.8893372777488109,concentrated
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+65,2,3.945651936760482,0.7475494928591999,51.710038800734665,0.07858567767683461,0.07858567767683461,0.20161837924347065,0.320521518239658,0.5122389586593055,0.6945303099759613,0.7820307009477807,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+65,3,3.8276520896948285,0.7251930541146775,45.954514390784695,0.05809353742883409,0.05809353742883409,0.17121231414368687,0.2703252098667358,0.4726661656482834,0.7135357766739278,0.824620262871328,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+66,0,4.8126073958386115,0.9118042533278785,123.05204498513308,0.011948555638634268,0.011948555638634268,0.03566805253992687,0.0585763722032735,0.11525791663310808,0.22486956303925837,0.4771613830287076,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+66,1,4.718392219227333,0.8939540960853654,111.98805560536921,0.014739066317168632,0.014739066317168632,0.04349025888934341,0.0720102599609132,0.142544069196401,0.27846065460716846,0.5478783323294658,diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+66,2,3.9576035676677854,0.7498138678640897,52.331766025153506,0.06059350952289597,0.06059350952289597,0.1726677716679989,0.272598436537966,0.45580612571417584,0.7003499256604316,0.7908677229168641,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+66,3,4.148225211604949,0.7859293477739091,63.32151821601489,0.056959045666952986,0.056959045666952986,0.16013434945023153,0.2543262868089092,0.45054026000090847,0.6704533125170378,0.7258926501383087,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+67,0,5.081259334909376,0.962703477087813,160.9766518510438,0.008598164002968981,0.008598164002968981,0.02548057572110482,0.0422266483143828,0.08369363346152187,0.16524771971342586,0.29313515992124817,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+67,1,4.328954279275878,0.8201705644467727,75.86491156412045,0.026351925472277875,0.026351925472277875,0.07774282949186258,0.127143688985195,0.23996111076142407,0.43005576965148057,0.7039051841951902,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+67,2,3.235029712988683,0.6129138758536007,25.40712668930076,0.18936865037816142,0.18936865037816142,0.38370192063287545,0.5101273135993188,0.6943295004219113,0.8575651322458525,0.8872108513527095,concentrated
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+67,3,4.336554755224778,0.8216105627112302,76.44371781498967,0.06640253361531183,0.06640253361531183,0.1296577932590416,0.1892680429393529,0.31165859269438584,0.5032899335086664,0.7082247923086677,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+68,0,4.697094727358768,0.8899190393949391,109.62820950153788,0.016161317933964307,0.016161317933964307,0.04681652886187172,0.07658004224830306,0.1458699805140222,0.274506036152945,0.5514709085430987,diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+68,1,4.912692397825687,0.9307665170240724,136.0051017398782,0.0128333021662347,0.0128333021662347,0.03720043674093614,0.06069150781712254,0.11525212831601571,0.21931483383781175,0.44101261551309845,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+68,2,3.7983807976162294,0.7196472685513782,44.62886279634514,0.07800608850199453,0.07800608850199453,0.19862233381407152,0.3111695005515075,0.5163729017563975,0.7412620090089385,0.8237260469424399,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+68,3,4.192529897478806,0.7943233840414571,66.19003331661085,0.06292217291494805,0.06292217291494805,0.15828589517669944,0.24683816992471386,0.4334419043086485,0.6606204831176978,0.7127714810945749,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+69,0,5.093510175620255,0.9650245408580846,162.96088058960908,0.00936613234423994,0.00936613234423994,0.027379756938698423,0.04471944957500497,0.08715549944626443,0.17016431440119312,0.29282729291772536,very_diffuse
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+69,1,4.2615853824063485,0.8074067460724005,70.92233339151369,0.032234486973820385,0.032234486973820385,0.08718270757287797,0.13761704834624547,0.2550119040465412,0.453829647503688,0.7244282969212508,moderate
TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+69,2,4.034015711156298,0.7642910341292979,56.48729305384172,0.10253586407674244,0.10253586407674244,0.27418739768530165,0.37757018780586227,0.5217690166872958,0.6756357338809976,0.7320475532048882,moderate
