image_id,mIoU,mDice
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+49,0.46389708227040816,0.2406362104436105
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+5,0.40052016900510207,0.22238267547499696
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+50,0.47840601084183676,0.24448235473850385
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+51,0.3607272583701832,0.20954794614802413
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+52,0.5204613964967826,0.3423037569845729
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+53,0.8173965158089758,0.4470364235878375
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+54,0.48880939094387754,0.247170685988975
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+55,1.0,0.25
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+56,1.0,0.25
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+57,0.5993107173638617,0.3678124094755656
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+58,0.5308524348074968,0.3450493213202862
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+59,0.5492388765482336,0.32949678781074365
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+6,0.384456712372449,0.21734060412136508
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+60,0.6127253158784056,0.3763481658202982
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+61,0.4464086415816326,0.23584349400888666
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+62,0.45468949298469385,0.2381347528834612
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+63,0.4720882493622449,0.24282170351918483
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+64,0.41127232142857145,0.2256582976117575
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+65,0.3044483418367347,0.189228024972748
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+66,0.6712543781871843,0.39854477360145757
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+67,0.5056182058072543,0.2983187074796798
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+68,0.4989636479591837,0.24974064320485198
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+69,0.2839936755952381,0.23001883239171375
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+7,0.21971881759192502,0.15264212371650387
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+70,1.0,0.25
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+71,0.46912866709183676,0.2420363172722973
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+72,0.7651289169654232,0.4320892933025212
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+73,0.44473978735310576,0.23537686953946393
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+74,0.649201669090163,0.3893536034038473
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+75,0.36682051802690685,0.2683749181203049
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+76,0.46670719068877553,0.24139015163228913
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+77,0.390316087372449,0.21920085063517825
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+78,0.4442861128826531,0.23524973354016948
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+79,0.45731026785714285,0.23885164675021858
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+8,0.2762848101700267,0.22660481246692415
