replicate,SRSC_image_balanced_pair_AUROC,SRSC_minus_U_purity,SRSC_Corrected_minus_Harmed_purity,Harmed_SRSC_minus_U_purity,SRSC_mean_N_eff,target_AUROC_purity,target_AUROC_purity_gain,target_AUROC_negative_wrong_mass,SRSC_minus_U_neighbor_accuracy,SRSC_minus_U_neighbor_mIoU,Top20_SRSC_minus_U_NetRepair
313,0.6225064863104366,0.011340847884565079,0.2697551921411156,0.007390358091143926,143.35895130379114,0.7744052782251258,0.5405863729022402,0.7474202859883361,0.01920418936339563,0.08328872009227828,0.06197184253298327
314,0.6245951554196898,0.011948230287741994,0.2616385318146828,0.005629917541276504,142.9748726268304,0.7696136159555437,0.5389817775511165,0.7429405859586269,0.01679797901779201,0.07296533078556744,0.053518759444368125
315,0.62322382025098,0.011400200912746064,0.26617276290268643,0.00709133441644422,143.5253397361437,0.7717107170161595,0.5371923400280726,0.7471052846113155,0.018507192991850552,0.08155461659793406,0.05702956465444725
316,0.6197237944111088,0.011927407783062763,0.2757736508956515,0.004874055028828652,143.07301398432696,0.7785748274985812,0.5433080681563541,0.7521785367767703,0.020737180211808703,0.08384028222336304,0.05987203763455104
317,0.6257336401035499,0.011844442505404326,0.25991982454767726,0.006162451093794111,143.09353776482766,0.7659679275569079,0.5352676117142932,0.7393592803012584,0.01903465057348097,0.08239371027000197,0.05801219343892319
318,0.6257216951448349,0.012017480937180657,0.26539207003268506,0.004985866307429511,143.38400598154533,0.7698558422363949,0.5424426515738376,0.7426490607703649,0.018051411807082585,0.07961126783922057,0.05493938083832092
319,0.6243512063632677,0.011539576361668897,0.2576125586348231,0.009387138545956993,143.3236878242455,0.7630862056760809,0.5299406371208262,0.7374703996022167,0.017802082469795977,0.07985009795595022,0.055314565381075875
320,0.6233566229437804,0.012041572785979573,0.25163987593420506,0.007522756784115896,143.29549126835485,0.7643218576351309,0.5351271150122511,0.7370371766647014,0.01824437965233494,0.08023628274680317,0.05514619490415926
321,0.6227120011858847,0.011943343120431152,0.25587558205526295,0.007111072770911736,143.27994994266382,0.7629473010810408,0.5334599763228192,0.7354567657492688,0.015893929299626297,0.0738588042048074,0.046902744923749795
322,0.6259537498291907,0.011821206632270579,0.25255141571595197,0.0069829428381465355,143.3150622125692,0.7644804518151875,0.5355840150952419,0.7385049390534767,0.016981400649121237,0.07620980163681257,0.05213111040171353
323,0.6253834423034426,0.011265604949324283,0.2640708113419446,0.005675700961984114,143.64727869173626,0.7691317759779096,0.5382590669113025,0.7460538020510986,0.014881672133312374,0.07287754808582952,0.04709772023606157
324,0.6227601839474626,0.012406887312658776,0.26728512078197925,0.005487717786496919,142.71255433338752,0.7709591433047328,0.5406651076490957,0.7434707646733925,0.02016441843096628,0.08571002193663702,0.06047484008185233
325,0.6198493781772961,0.011778029794418624,0.25984703324088465,0.006126591740424726,143.10257698633572,0.7690895313779077,0.5314438687557121,0.7426434065238173,0.01703769506093733,0.07583539016303409,0.054135486898323065
326,0.6259005878980282,0.011603986635447053,0.26163132862971245,0.006606975471147525,143.44273308462706,0.7659013087832963,0.5350808883519043,0.7390995923356038,0.01787419772874399,0.07481027888547154,0.055606232818503104
327,0.6219173197328843,0.011999948667715133,0.25752596610041706,0.005810077996041466,142.86574525800984,0.7654965469023841,0.5355991557663395,0.7399617236916021,0.017542592541497037,0.07729298347536956,0.051886353050768524
328,0.6199456471549056,0.011472190617872401,0.25595326253929973,0.006164594736852315,143.0933052992365,0.7660590818104367,0.5351752510535817,0.7418040024416788,0.017053936411275727,0.07318387446213553,0.053718425426053595
