group,estimator,accuracy,miou,dice,iou_class0,iou_class1,iou_class2,iou_class3,nll,brier,targets,coverage
Top20,SRSC,0.6234388228678075,0.4478358185618022,0.6157171395339972,0.41318015287891807,0.4706861643930224,0.543148786020331,0.3643281709549372,0.8883715902567292,0.49317356086840064,485451,1.0
Top20,raw,0.35385239704934174,0.19023837272164,0.31605326587622223,0.23083426977456759,0.25610256817790494,0.15236664532335123,0.12165000761073622,1.4112142789813042,0.7854553411093327,485451,1.0
Top20,deep,0.595318580042064,0.42933731790908336,0.5944749138492789,0.29543659143428797,0.38562659925632164,0.5129226157130529,0.523363465232671,3.209851151722602,0.7425554153530726,485451,1.0
Top20,oracle,0.632770235471045,0.41701044967316164,0.5590565155656498,0.5111340930974226,0.5260599146179891,0.5370678660786432,0.09377992489859158,0.9084250186967601,0.4948002286176262,485410,0.9999155424543362
Bottom80,U,0.8333513902849587,0.5277038768223345,0.6449702120510622,0.7842181191254144,0.7317676252414568,0.47847528938940403,0.11635447353306283,0.5629951113939489,0.28605856862170653,1993692,1.0
Bottom80,SR,0.8394531351883842,0.5506216281607951,0.6718137292000463,0.7896064510858412,0.7376847837784204,0.5153973762097056,0.15979790156921317,0.5331371302756271,0.26845183870224565,1993692,1.0
Bottom80,SC,0.8406308496999536,0.5642087666007909,0.688081282304905,0.7884977609177448,0.7380454976600531,0.5395393113268298,0.19075249649853576,0.5230433002060606,0.2605267350245224,1993692,1.0
Bottom80,SRSC,0.8424129705089853,0.573397613381228,0.698894586056784,0.7898405006819992,0.7398541087333252,0.5491815635587505,0.21471428055083674,0.504348794889697,0.25083559229599156,1993692,1.0
Bottom80,raw,0.8020085349191349,0.5269703915405549,0.6642972905290854,0.733867911807347,0.682580219645377,0.47635001167397373,0.21508342303552205,0.6323184639126751,0.31391529929197,1993692,1.0
Bottom80,deep,0.8093371493691102,0.5455089451008219,0.6801953802448552,0.7501816307648362,0.690485571513542,0.520191654554352,0.22117692357055765,1.4379750963430558,0.32851463918232965,1993692,1.0
Bottom80,oracle,0.8699070481582936,0.5796712981236524,0.6848452286962152,0.830014427082275,0.7921906137420112,0.5731805643963506,0.12329958727397235,0.508994019775795,0.24814406937492622,1993613,0.999960375022822
Q1,U,0.9165782627110098,0.602528060422696,0.671992289960574,0.8999778131124505,0.8403587443946189,0.649415009372778,0.02036067481093659,0.39017582806742185,0.17884112561550097,495830,1.0
Q1,SR,0.9203376157150637,0.6138743489394191,0.6820055569849915,0.9040013968296425,0.84577853798054,0.678041827117418,0.02767563383007548,0.3582152030886046,0.16086399093407094,495830,1.0
Q1,SC,0.9241897424520501,0.6239171428845054,0.6874148539420705,0.9047141275185243,0.8550286305753654,0.7125486882509325,0.023377125193199382,0.33887816789101655,0.14717093703198503,495830,1.0
Q1,SRSC,0.9245890728677167,0.6250880702116699,0.6885863999406,0.9052663291911374,0.8556962506293281,0.7146792763157894,0.02471042471042471,0.31948540255215035,0.13812254353119782,495830,1.0
Q1,raw,0.9193372728556158,0.6184273779591921,0.6847728547500037,0.8979133047687942,0.8454078371019297,0.704874280095519,0.025514089870525513,0.4056386637160667,0.15132188396666374,495830,1.0
Q1,deep,0.9192767682471815,0.6183702855045948,0.6846791718534501,0.8978164480641152,0.8452264874331424,0.7051289772156981,0.025309229305423408,1.0180217618336789,0.15414093937008586,495830,1.0
Q1,oracle,0.9374756709768115,0.6390850056606198,0.6956459656632262,0.9245231434146415,0.8839511736729058,0.7265189172762595,0.021346788278672618,0.3459058484037467,0.14880318486356714,495807,0.9999536131335337
Q2,U,0.8605585001250433,0.5438729719295947,0.6472595766393874,0.8273329043280611,0.757044964418942,0.5144434693579055,0.07667054961347029,0.5161709779373027,0.2557899154808402,495828,1.0
Q2,SR,0.865491662431327,0.5602365704788314,0.6647585438253967,0.8318060422388484,0.762646531010823,0.5502060056494126,0.0962877030162413,0.4868524078556622,0.23862482690445067,495828,1.0
Q2,SC,0.8679521930992199,0.5712631373093776,0.6757518744515069,0.8315061863880411,0.7665806156882857,0.580361973576278,0.10660377358490566,0.473854401363569,0.22860718587959022,495828,1.0
Q2,SRSC,0.8689525399937075,0.5751289213806077,0.6799445196842586,0.8323891616213286,0.7678519765960662,0.5878435792941993,0.11243096801083673,0.4553691774646589,0.2191156982793732,495828,1.0
Q2,raw,0.8501254467274942,0.5557961388278252,0.6672164618496219,0.8055206978780837,0.7364481847988331,0.5674205039380372,0.11379516869634658,0.5210332458412552,0.2511114383681623,495828,1.0
Q2,deep,0.8494861121195253,0.5571823764640829,0.6692343778479732,0.805246728893598,0.7345976773386207,0.5710107034888471,0.1178743961352657,1.2748641401275806,0.26439446462204413,495828,1.0
Q2,oracle,0.8910277225925515,0.5904718321594199,0.6814899644537822,0.8627161575744996,0.8125870600565144,0.6068126340705674,0.07977147693609818,0.4657403008979406,0.22068903197802758,495805,0.9999536129464249
Q3,U,0.8106161600067765,0.498445328164184,0.6207353242285285,0.7445807310330705,0.7131759464820677,0.42433770404067434,0.11168693110092352,0.6163113382854214,0.31876752537885344,495829,1.0
Q3,SR,0.8168420967712658,0.5208691670212213,0.6474432558323175,0.7497560330141088,0.7185600678455324,0.46391007099658166,0.15125049622866216,0.5879188669592033,0.30170272728580194,495829,1.0
Q3,SC,0.8181086624622602,0.5324203990424572,0.6619482419546108,0.7493293906431513,0.7196086295779779,0.48125472046794904,0.1794888554807504,0.5797472641288796,0.29462913555957754,495829,1.0
Q3,SRSC,0.8200750662022592,0.5413567156396338,0.6723194958041421,0.7503388739219573,0.7214722340209422,0.4948104046610844,0.19880534995455135,0.5614093900356374,0.2846958069662747,495829,1.0
