group,variant,targets,purity_pixel_mean,purity_image_mean,purity_eligible_images,purity_p05,purity_p25,purity_p50,purity_p75,purity_p95,mass_pixel_mean,mass_image_mean,mass_eligible_images,mass_p05,mass_p25,mass_p50,mass_p75,mass_p95,neff_pixel_mean,neff_image_mean,neff_eligible_images,neff_p05,neff_p25,neff_p50,neff_p75,neff_p95,same_mass_pixel_mean,same_mass_image_mean,same_mass_eligible_images,same_mass_p05,same_mass_p25,same_mass_p50,same_mass_p75,same_mass_p95,wrong_mass_pixel_mean,wrong_mass_image_mean,wrong_mass_eligible_images,wrong_mass_p05,wrong_mass_p25,wrong_mass_p50,wrong_mass_p75,wrong_mass_p95,fg_mass_pixel_mean,fg_mass_image_mean,fg_mass_eligible_images,fg_mass_p05,fg_mass_p25,fg_mass_p50,fg_mass_p75,fg_mass_p95,purity_gain_image_mean,purity_gain_pixel_mean
Top20,U,485451,0.8602623512743038,0.8722241441826757,3405,0.3839111328125,0.7647705078125,0.9998779296875,0.9998779296875,0.9998779296875,166.90543432807843,164.57183698385813,3405,89.00390625,134.01171875,163.98046875,208.98828125,223.97265625,166.90543432807843,164.57183698385813,3405,89.00390625,134.01171875,163.98046875,208.98828125,223.97265625,139.45169955361098,136.71417873503032,3405,49.02734375,102.01953125,135.98046875,179.01953125,223.97265625,22.43190558882359,19.96592448038071,3405,0.02734375,0.02734375,0.02734375,36.01171875,99.01171875,161.88360514243456,156.680103215411,3405,85.99609375,124.98828125,163.98046875,208.98828125,223.97265625,0.0,0.0
Top20,SR,485451,0.855280734254715,0.8680230541343569,3405,0.3602294921875,0.7552490234375,0.9998779296875,0.9998779296875,0.9998779296875,118.14283150446367,126.73926364682795,3405,55.64453125,88.73046875,116.01953125,149.81640625,180.49609375,152.32842551194332,153.680849940354,3405,80.96484375,117.11328125,152.87890625,190.72265625,214.83984375,97.62665194192549,105.26446256602027,3405,30.98046875,66.41796875,94.85546875,126.95703125,172.56640625,16.913386301209837,15.595279746449217,3405,0.02734375,0.02734375,0.02734375,26.87890625,76.15234375,114.54003824243841,120.85974231181585,3405,51.32421875,85.01171875,112.13671875,145.82421875,179.23828125,-0.004201090048318872,-0.00498161701958888
Top20,SC,485451,0.8660058868533982,0.8770150461300844,3405,0.3670654296875,0.7933349609375,0.9998779296875,0.9998779296875,0.9998779296875,94.07021633119504,101.52781398509474,3405,30.37890625,61.38671875,90.69921875,123.89453125,169.01171875,142.01142083012027,142.41640496365477,3405,69.42578125,107.26953125,140.57421875,180.11328125,212.10546875,79.19539728774808,85.86524803455728,3405,18.45703125,45.96484375,73.80078125,106.77734375,160.42578125,12.122570651829273,11.165946054978672,3405,0.02734375,0.02734375,0.02734375,15.94140625,60.34765625,91.3179679402782,97.03119409015994,3405,27.80859375,58.76171875,87.85546875,120.72265625,166.87890625,0.004790901947408771,0.00574353557909435
Top20,SRSC,485451,0.8631252581054603,0.8744330600149981,3405,0.3477783203125,0.7904052734375,0.9998779296875,0.9998779296875,0.9998779296875,70.90020272211608,81.83169386917753,3405,17.63671875,39.67578125,67.01953125,97.09765625,139.64453125,127.02718366486953,131.51645752582684,3405,58.81640625,93.26953125,124.60546875,161.79296875,198.37890625,59.4497492224317,69.46722532085795,3405,11.40234375,29.44921875,52.03515625,82.93359375,132.91796875,9.390777098884298,8.907137346763596,3405,0.02734375,0.02734375,0.02734375,11.62109375,47.82421875,68.84052632117326,78.3743626674975,3405,16.37890625,37.81640625,64.61328125,94.69140625,137.89453125,0.0022089158323223388,0.00286290683115642
Bottom80,U,1993692,0.897670020602198,0.8914288120536277,3415,0.4615478515625,0.8714599609375,0.9998779296875,0.9998779296875,0.9998779296875,168.25336661831417,167.30491364500267,3415,89.00390625,134.01171875,163.98046875,223.97265625,223.97265625,168.25336661831417,167.30491364500267,3415,89.00390625,134.01171875,163.98046875,223.97265625,223.97265625,146.95253880739853,142.05275861361187,3415,58.98046875,110.98828125,147.02734375,194.00390625,223.97265625,16.78252458253331,17.361097732599333,3415,0.02734375,0.02734375,0.02734375,19.98828125,89.00390625,163.73506338993184,159.41385634621116,3415,86.98046875,124.98828125,163.98046875,208.98828125,223.97265625,0.0,0.0
Bottom80,SR,1993692,0.8994255166470304,0.8933231235695821,3415,0.4625244140625,0.8778076171875,0.9998779296875,0.9998779296875,0.9998779296875,140.0563091079138,136.86638492637894,3415,74.23828125,107.92578125,140.24609375,174.97265625,200.56640625,161.41106989627545,159.62794459702192,3415,86.81640625,124.71484375,161.51953125,206.19921875,220.74609375,123.36862437213041,117.25992939555816,3415,46.18359375,89.71484375,121.37890625,160.53515625,198.98046875,13.16961971208757,13.49362673358721,3415,0.02734375,0.02734375,0.02734375,15.44921875,70.46484375,136.53824408384972,130.75355612873022,3415,68.44140625,104.53515625,135.98046875,172.12890625,200.18359375,0.001894311515954747,0.001755496044832383
Bottom80,SC,1993692,0.9092067052527617,0.9033260523914479,3415,0.4913330078125,0.9027099609375,0.9998779296875,0.9998779296875,0.9998779296875,131.67837006077266,128.57440197856278,3415,61.71484375,98.68359375,129.63671875,167.20703125,202.04296875,156.86502062714266,155.14397402938778,3415,80.74609375,118.26171875,156.98046875,201.27734375,221.73046875,118.08793246528437,112.37262338184186,3415,38.63671875,82.00390625,115.36328125,155.50390625,200.01953125,10.491288243416117,10.835702442751137,3415,0.02734375,0.02734375,0.02734375,10.85546875,58.26953125,128.5792207085245,123.20832582441354,3415,57.12109375,95.23828125,126.19140625,164.30859375,201.49609375,0.011897240337820312,0.011536684650563678
Bottom80,SRSC,1993692,0.9114940646423898,0.9058006782409489,3415,0.4923095703125,0.9102783203125,0.9998779296875,0.9998779296875,0.9998779296875,112.7517672131037,108.50751468900837,3415,48.20703125,82.27734375,110.71484375,142.98046875,182.30078125,148.1177285775144,145.50685695524714,3415,74.18359375,112.08203125,146.86328125,189.08203125,215.87890625,101.96390805573844,95.7305512007548,3415,29.94140625,67.67578125,99.66796875,135.05078125,180.87890625,8.31612754203742,8.516685324766815,3415,0.02734375,0.02734375,0.02734375,8.23046875,46.45703125,110.2800355976352,104.24723652545528,3415,44.37890625,79.21484375,107.98046875,140.84765625,181.97265625,0.0143718661873214,0.013824044040191774
Q1,U,495830,0.9219786958847145,0.8966766864099874,3403,0.5125732421875,0.9569091796875,0.9998779296875,0.9998779296875,0.9998779296875,146.92823548393602,142.5168201239304,3403,79.98046875,119.02734375,134.01171875,179.01953125,223.97265625,146.92823548393602,142.5168201239304,3403,79.98046875,119.02734375,134.01171875,179.01953125,223.97265625,132.70431196176108,122.35429674008346,3403,54.98828125,98.02734375,128.98046875,163.98046875,223.97265625,10.992878607587278,13.854600714713907,3403,0.02734375,0.02734375,0.02734375,5.98828125,68.00390625,143.69719056934838,136.20889745479735,3403,78.99609375,113.01171875,134.01171875,179.01953125,223.97265625,0.0,0.0
Q1,SR,495830,0.9256151452220474,0.901238602447503,3403,0.5325927734375,0.9610595703125,0.9998779296875,0.9998779296875,0.9998779296875,127.92030020185393,119.31461773384169,3403,68.55078125,98.02734375,118.86328125,158.23828125,204.33984375,142.06630919376295,136.24020283198752,3403,77.90234375,111.53515625,131.66015625,175.95703125,221.01953125,116.76875658514804,103.78537801523845,3403,45.96484375,84.62890625,111.64453125,144.56640625,202.97265625,8.617257445046995,10.626685055778823,3403,0.02734375,0.02734375,0.02734375,4.56640625,53.12890625,125.38601403103591,114.41206307213763,3403,64.28515625,95.18359375,117.05859375,155.17578125,204.12109375,0.004561916037515587,0.00363644933733287
