population,group,score,auroc,auprc,positive,negative,prevalence,image_auroc,eligible_images,images_with_targets,targets,zero_excluded
rejected_winner,class2,deep_entropy_advantage,0.6977597680747889,0.9161913612934864,27628,4991,0.8469910175051351,0.6937425135838792,624,839,32619,0
rejected_winner,class3,S_D_sym,0.508241608429833,0.9918277290382879,40601,285,0.9930293988162208,0.3041433826281055,89,350,40886,0
rejected_winner,class3,Delta_sym,0.5187508561063011,0.9936455082161806,40601,285,0.9930293988162208,0.3317884045089698,89,350,40886,0
rejected_winner,class3,q,0.8291702261244106,0.9982019080324377,40601,285,0.9930293988162208,0.8202081110245584,89,350,40886,0
rejected_winner,class3,deep_confidence_advantage,0.6488555938255777,0.9953489550380389,40601,285,0.9930293988162208,0.5469675865740299,89,350,40886,0
rejected_winner,class3,deep_entropy_advantage,0.7333383457412034,0.9968275049617488,40601,285,0.9930293988162208,0.6299149410961031,89,350,40886,0
rejected_winner,boundary,S_D_sym,0.545692191485039,0.4847221129582137,15145,17597,0.462555738806426,0.542579610841461,1620,1884,32742,0
rejected_winner,boundary,Delta_sym,0.5662997063505734,0.5072055821076032,15145,17597,0.462555738806426,0.5520328002996656,1620,1884,32742,0
rejected_winner,boundary,q,0.4804092424514946,0.43811326408423285,15145,17597,0.462555738806426,0.4721489460215827,1620,1884,32742,0
rejected_winner,boundary,deep_confidence_advantage,0.5565920280425362,0.5103295916487073,15145,17597,0.462555738806426,0.5599500027129184,1620,1884,32742,0
rejected_winner,boundary,deep_entropy_advantage,0.5469981086582238,0.5012836132745512,15145,17597,0.462555738806426,0.5454563355615137,1620,1884,32742,0
rejected_winner,interior,S_D_sym,0.5921463573169882,0.46112522697572933,98059,127065,0.43557772605319733,0.6180485410498038,2408,3240,225124,0
rejected_winner,interior,Delta_sym,0.7084163859364393,0.6106103335266052,98059,127065,0.43557772605319733,0.6818934308328024,2408,3240,225124,0
rejected_winner,interior,q,0.5891027266343974,0.4667163457244862,98059,127065,0.43557772605319733,0.5131455949323668,2408,3240,225124,0
rejected_winner,interior,deep_confidence_advantage,0.7341590722145146,0.6701518307521466,98059,127065,0.43557772605319733,0.6727122227692607,2408,3240,225124,0
rejected_winner,interior,deep_entropy_advantage,0.7362264331134001,0.6784129515308949,98059,127065,0.43557772605319733,0.6605784850632476,2408,3240,225124,0
