image_id,class,entropy,normalized_entropy,effective_query_count,dominant_share,top1_mass,top3_mass,top5_mass,top10_mass,top20_mass,gini,diffuseness_bin,weighted_target_purity,weighted_rival_mass,weighted_bg_mass,contribution_target_fraction,contribution_rival_fraction,contribution_bg_fraction,contribution_entropy,effective_contribution_count,pure_basis_fraction,best_basis_purity
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+13,3,4.41560640332476,0.8365878137191699,82.73199465449393,0.0422433996333167,0.0422433996333167,0.11398205778441504,0.17088556470447067,0.29688063529022934,0.5026272252126042,0.6850078476044847,diffuse,0.5660429000854492,0.4339570999145508,0.0,0.5137545466423035,0.4862455129623413,0.0,4.406189918518066,81.95660652853181,0.12755102040816327,0.7493931651115417
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+130,0,5.261596190364628,0.9968703846103455,192.7889737339907,0.0065640329140675,0.0065640329140675,0.019651314263008375,0.032520415598331964,0.064194883872908,0.12706767522477863,0.1014924319800814,very_diffuse,1.0,0.0,0.0,1.0,0.0,0.0,5.252311706542969,191.00731133273325,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+131,0,5.261620699744992,0.99687502819654,192.79369893018358,0.006574494894322023,0.006574494894322023,0.019690765457627143,0.0325138687071574,0.06412908328952549,0.12680954737095432,0.10128631122575404,very_diffuse,1.0,0.0,0.0,1.0,0.0,0.0,5.257673263549805,192.03415821036637,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+132,0,5.261115384595344,0.9967792903844096,192.69630196351133,0.006588132258721605,0.006588132258721605,0.019644947202886745,0.03251034275766715,0.06419212412491701,0.1271097109280233,0.10250131384132621,very_diffuse,1.0,0.0,0.0,1.0,0.0,0.0,5.23553991317749,187.83049112954058,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+133,0,5.261562904466144,0.996864078211066,192.78255668658142,0.006584735940572468,0.006584735940572468,0.019634288409229664,0.03246768604956622,0.06408266998846862,0.1269552917540667,0.10150822924197489,very_diffuse,1.0,0.0,0.0,1.0,0.0,0.0,5.251181602478027,190.79157511890907,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+134,0,5.261554099864551,0.9968624100772414,192.78085932044792,0.0065575727551723416,0.0065575727551723416,0.019664755457355743,0.03253480852646397,0.06415949043183569,0.1269444567513551,0.10157477905656931,very_diffuse,1.0,0.0,0.0,1.0,0.0,0.0,5.2368669509887695,188.0799147540675,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+135,0,5.260615157735158,0.9966845166076953,192.5999342022914,0.006612171997010838,0.006612171997010838,0.01978335516624733,0.03275678735022561,0.064517677461214,0.12729486247816238,0.10336782595578309,very_diffuse,0.9999999403953552,0.0,0.0,1.0,0.0,0.0,5.212873458862305,183.6209280447716,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+136,0,5.2616412120429565,0.9968789144891441,192.79765361254132,0.006571723278285115,0.006571723278285115,0.01969981046265082,0.03260843892854576,0.06416757019568314,0.1269612793791361,0.1012826948668637,very_diffuse,1.0,0.0,0.0,1.0,0.0,0.0,5.2480692863464355,190.19869451640497,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+137,0,5.261373578700984,0.9968282082504109,192.74606143638172,0.006572366820666663,0.006572366820666663,0.019674091519001798,0.03255495678973765,0.06417747200254995,0.12705716459844302,0.10176129850763038,very_diffuse,1.0,0.0,0.0,1.0,0.0,0.0,5.25072717666626,190.70489419902256,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+138,2,4.967599445370415,0.9411692936004973,143.6815576169613,0.010797758586886377,0.010797758586886377,0.03197911571612,0.0528553706648974,0.10405860316457571,0.20354717704728578,0.3997788838889933,very_diffuse,1.0000001192092896,0.0,0.0,1.0,0.0,0.0,4.807168006896973,122.38453412379387,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+139,0,4.28434137805783,0.8117181332097915,72.5547448328411,0.0474896828227924,0.0474896828227924,0.130694428752972,0.20007923249119844,0.33200303700544087,0.523760604114422,0.7252930275319858,moderate,0.06868986040353775,0.9313100576400757,0.0,0.07045283913612366,0.9295470118522644,0.0,4.321268081665039,75.28403409136746,0.0,0.14248692989349365
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+139,1,5.1517051413997255,0.976050251653832,172.72576120504746,0.010690507762766883,0.010690507762766883,0.030624676377329303,0.050118823934706375,0.09701685399280893,0.18678037759218438,0.27961521152830104,very_diffuse,0.015236194245517254,0.9847637414932251,0.0,0.014672299847006798,0.9853276014328003,0.0,5.048854351043701,155.8438198643488,0.0,0.03873984515666962
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+139,2,4.6795776624373575,0.886600228407994,107.72456683169288,0.03864940777850994,0.03864940777850994,0.10468509158172185,0.15098729533602223,0.246471052748329,0.3859242926943535,0.5827284893895297,diffuse,0.8949699401855469,0.10502989590167999,0.0,0.8949418663978577,0.10505815595388412,0.0,4.538657188415527,93.56507545887202,1.0,0.9961313605308533
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+14,0,5.26162364203765,0.9968755856479876,192.79426618650288,0.006597892982097012,0.006597892982097012,0.01966588053167739,0.032532515670839084,0.0641338023459014,0.12655805683161805,0.10123405724355816,very_diffuse,1.0,0.0,0.0,1.0,0.0,0.0,5.233490467071533,187.44593685714452,1.0,1.0
TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+140,0,5.248658596043906,0.9944192074086345,190.31081348468248,0.006946950341690041,0.006946950341690041,0.02081297281463152,0.034494148708020395,0.06807668161107913,0.1341513442174593,0.12819004102191456,very_diffuse,0.7843959927558899,0.2156040072441101,0.0,0.8246598243713379,0.17534029483795166,0.0,5.144798278808594,171.53687855727358,0.7448979591836735,0.9526945352554321
