snapshot,stage,positive_recall,positive_confidence,positive_F_median,rival_leakage,background_leakage,probability_gap,rival_gap,background_gap,empty_fraction,median_area,fraction_area_lt_001,fraction_area_gt_090,component_p90,permutation
epoch4,2,0.8417536020278931,0.5849470945104989,0.5994262099266052,0.48693950548768045,0.0012108921322838537,0.3777616899796953,0.06188164153683007,0.5586550748095366,0.0,0.2758290767669678,0.017857142857142856,0.0,6.0,6
epoch4,2,0.9453043937683105,0.5880467531830935,0.6062993407249451,0.4674040899508529,0.001157427630719862,0.3820308445013788,0.06863779235577772,0.5615000140935403,0.0,0.2959183603525162,0.0,0.0,6.0,7
epoch4,3,0.758030116558075,0.5968421238924932,0.6063290238380432,0.48719110526144505,0.0023168022120704074,0.3889449152895813,0.07727330896622986,0.5674282734538828,0.0,0.24043367058038712,0.017857142857142856,0.0,7.0,0
epoch4,3,0.7344633042812347,0.5936433391960784,0.5921825170516968,0.498934663956364,0.002361445068215419,0.38641684491025885,0.07645544459677311,0.5639208282916136,0.0,0.2504783123731613,0.0,0.0,7.0,1
epoch4,3,0.6764455735683441,0.5924966047932755,0.575491726398468,0.47573920384877255,0.0022786459220307215,0.38346038255030135,0.07001797393387066,0.5629578168559692,0.017857142857142856,0.25653697550296783,0.017857142857142856,0.0,6.5,2
epoch4,3,0.75875124335289,0.5988878637887624,0.6008568704128265,0.45158529012567467,0.0023480209929402918,0.39233362761912044,0.08301123194500837,0.5694716755363392,0.0,0.2517538145184517,0.017857142857142856,0.0,6.0,3
epoch4,3,0.7522012889385223,0.5923425646941636,0.5852304399013519,0.48128118899961314,0.0023168022120704074,0.3838760731988047,0.07134586569873236,0.5628511220344278,0.017857142857142856,0.25207269191741943,0.017857142857142856,0.0,7.0,4
epoch4,3,0.9215368032455444,0.5966702017159244,0.5904017984867096,0.4349748430152734,0.0023480209929402918,0.3894113506374541,0.07945501860315407,0.5669124315937215,0.0,0.25318877398967743,0.0,0.0,6.5,5
epoch4,3,0.6185983717441559,0.5911718266518281,0.5794797837734222,0.5334024758388599,0.0023168022120704074,0.38035334263505266,0.06358709075911506,0.5617542249768342,0.0,0.24713009595870972,0.017857142857142856,0.0,6.5,6
epoch4,3,0.880609393119812,0.594539508700158,0.6019137501716614,0.44784233996437656,0.0023013012791385074,0.3843169687599227,0.06832878901332862,0.5652722765812096,0.017857142857142856,0.25860968232154846,0.017857142857142856,0.0,6.0,7
epoch5,2,0.9400061666965485,0.5980553307230608,0.6107145547866821,0.44094146906087794,0.0014608486713508942,0.3871512985079179,0.07619886409776533,0.5760801296684905,0.0,0.30612245202064514,0.0,0.0,6.0,0
epoch5,2,0.7182203233242035,0.6011990225364745,0.6095716953277588,0.48158077523112297,0.0016100770839589781,0.39480281394195194,0.09135542333726243,0.5791717221140948,0.0,0.2836415767669678,0.017857142857142856,0.0,6.0,1
epoch5,2,0.9290661811828613,0.6008942879176042,0.6019728183746338,0.4593153339293268,0.0015848651736242963,0.39143669847049534,0.08310464718451827,0.5787734342940997,0.017857142857142856,0.2863520234823227,0.017857142857142856,0.0,6.0,2
epoch5,2,0.9398332238197327,0.5981477637265018,0.6213357150554657,0.4301787971622414,0.001445766567485407,0.3858521441492449,0.07239473836157018,0.5763029486474558,0.0,0.3029336631298065,0.03571428571428571,0.0,6.0,3
epoch5,2,0.7938645780086517,0.5970432905513463,0.6072427034378052,0.49198556103640134,0.001445766567485407,0.38771691567979677,0.07986545243044751,0.5747616552815284,0.0,0.2997448891401291,0.0,0.0,6.0,4
epoch5,2,0.9828990697860718,0.5951801499385057,0.5991998612880707,0.4495643994874424,0.001418047145956994,0.3829314347919473,0.06969120470642332,0.5732502874318566,0.0,0.2868303507566452,0.017857142857142856,0.0,6.0,5
epoch5,2,0.7908898293972015,0.5931433737463816,0.6187412440776825,0.4958285748130745,0.001445766571643097,0.3820181329648866,0.07059874661332699,0.5712306753132027,0.0,0.2857142835855484,0.017857142857142856,0.0,6.0,6
epoch5,2,0.9075581431388855,0.5954967934776463,0.6218204200267792,0.46924625179833834,0.001495315581061212,0.3857560999696168,0.07733143707100354,0.573149104861384,0.0,0.29209183156490326,0.017857142857142856,0.0,6.0,7
epoch5,3,0.7701388895511627,0.6133440029318453,0.6064006984233856,0.502018943346209,0.0021062600343222065,0.39876911179008,0.08392531064689779,0.5900622639436143,0.0,0.24298468977212906,0.0,0.0,7.0,0
epoch5,3,0.8889860212802887,0.60891979282483,0.6038151383399963,0.4631554763764143,0.0021587810437527616,0.398135818950498,0.08942922710234358,0.5857001185517219,0.0,0.2535076439380646,0.0,0.0,7.0,1
epoch5,3,0.661652535200119,0.6072095454073663,0.6021639108657837,0.4945635362631745,0.0021062600343222065,0.39016975415647176,0.07115484168791542,0.5839971948382126,0.017857142857142856,0.24760840833187103,0.017857142857142856,0.0,7.0,2
