image_id,UDT,RG,ADT,SDT,ADT_active_count,RG_active_count
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+170,0.9843636751174927,1.0783541202545166,1.1007933616638184,1.466508150100708,119,119
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+171,1.0500370264053345,1.0270168781280518,1.2796584367752075,1.8979562520980835,260,260
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+172,1.0503679513931274,1.127024531364441,1.1935620307922363,2.1243631839752197,290,290
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+173,0.9567476511001587,0.9761954545974731,1.1442197561264038,1.856929898262024,369,369
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+174,1.1899079084396362,1.2024649381637573,1.1128859519958496,1.7659305334091187,223,223
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+175,0.8448500633239746,0.8400177359580994,1.0118639469146729,1.4394067525863647,237,237
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+176,0.9281120896339417,0.9058585166931152,1.166924238204956,1.4606516361236572,201,201
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177,0.9550859928131104,0.9522592425346375,1.1969934701919556,1.4170068502426147,138,138
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178,0.980370819568634,0.9783048629760742,1.2429938316345215,1.3856494426727295,152,152
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+179,0.8883832097053528,0.8921651244163513,1.0250436067581177,1.419137716293335,150,150
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+18,1.0139026641845703,1.0530390739440918,1.3173823356628418,1.639533281326294,170,170
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+180,1.28701651096344,1.4398589134216309,1.6624361276626587,1.9439202547073364,125,125
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+181,1.0112940073013306,0.9801567196846008,1.079562783241272,1.3432505130767822,213,213
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+182,1.29889976978302,1.2920353412628174,1.4457290172576904,2.203141927719116,207,207
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+183,1.6445313692092896,1.5963886976242065,1.8925833702087402,2.3064563274383545,223,223
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+184,1.1799088716506958,1.1852396726608276,1.2364263534545898,2.45833420753479,187,187
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+19,1.204575777053833,1.3230606317520142,1.5235404968261719,1.6356072425842285,156,156
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+2,1.0233867168426514,1.0938735008239746,1.228296160697937,1.8071292638778687,261,261
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+20,0.8440683484077454,0.8780820369720459,0.9207859635353088,1.2884067296981812,297,297
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+21,0.6175734996795654,0.5892186760902405,0.6892828941345215,1.092392921447754,367,367
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+22,1.3143057823181152,1.360703468322754,1.3860386610031128,1.7300184965133667,163,163
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+23,1.5234371423721313,1.428386926651001,1.925053358078003,2.2218422889709473,109,109
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+24,1.1662812232971191,1.07647705078125,0.800858736038208,1.0425665378570557,164,164
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+25,1.453840970993042,1.4259815216064453,2.007120370864868,2.6658027172088623,214,214
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+26,1.0287121534347534,1.010759711265564,1.0694921016693115,1.267222285270691,190,190
