stratum,loss,targets,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,active_gradient_fraction,mean_gradient_norm,active_transfer_fraction,mean_dQ,dQ_negative_fraction,dQ_zero_fraction
class1,SDT,1044692,0.25829143900786067,0.025157654121980448,0.7165509068701589,0.0013096691842723832,0.0,0.2834490931298411,0.0011903187186340992,0.2834490931298411,-0.0002510984216703637,0.28344047815049794,0.7165509068701589
class1,PRG_previous,1044692,0.8069555428777094,0.1930406282425825,3.828879708086211e-06,0.0003173720341790585,4.8415698074677493e-05,1.0,0.0004300961832061744,1.0,-8.98667842751981e-05,0.9999856417010947,0.0
class2,UDT,323515,0.7489575444724356,0.2510393644807814,3.091046782993061e-06,0.0009530603725471712,0.00015101934695849195,1.0,0.0011092153961731284,1.0,-0.00022920897762307365,0.9999907268596511,0.0
class2,RG,323515,0.24313864890345116,0.06922708375191258,0.6876342673446363,0.0009473063850033041,0.0,0.3123657326553637,0.0011096214592766487,0.3123657326553637,-0.00022933515239987752,0.31236264160858074,0.6876342673446363
class2,ADT,323515,0.2622598643030462,0.061771478911333326,0.6759686567856205,0.0011191283692307077,0.0,0.32403134321437954,0.0013070545778085488,0.32403134321437954,-0.0002565654361496757,0.32402207007403055,0.6759686567856205
class2,SDT,323515,0.2622598643030462,0.061771478911333326,0.6759686567856205,0.0012976212125973031,0.0,0.32403134321437954,0.0015374012713393014,0.32403134321437954,-0.0002707739757526724,0.32402207007403055,0.6759686567856205
class2,PRG_previous,323515,0.7489575444724356,0.2510393644807814,3.091046782993061e-06,0.0005026741226755879,7.147641554183792e-05,1.0,0.000574052776158666,1.0,-0.0001164311452869625,0.9999907268596511,0.0
class3,UDT,145803,0.797315555921346,0.20268444407865407,0.0,0.0015185150767027353,0.0012760300596710294,1.0,0.001357897100041755,1.0,-0.0002709854986995911,0.999917697166725,0.0
class3,RG,145803,0.26432926620165564,0.04217334348401611,0.6934973903143282,0.0015254528427105759,0.0,0.3065026096856718,0.0013578466421473685,0.3065026096856718,-0.00027078610127231385,0.306482033977353,0.6934973903143282
class3,ADT,145803,0.29470587024958333,0.015322044128035775,0.6899720856223809,0.001652208669987339,0.0,0.3100279143776191,0.001419186525104058,0.3100279143776191,-0.0002452672152264965,0.30995932868322323,0.6899720856223809
class3,SDT,145803,0.29470587024958333,0.015322044128035775,0.6899720856223809,0.0018157313233368624,0.0,0.3100279143776191,0.0015205247541911027,0.3100279143776191,-0.00022256293546781857,0.30995932868322323,0.6899720856223809
class3,PRG_previous,145803,0.797315555921346,0.20268444407865407,0.0,0.0007346799912478698,0.0005954613152425736,1.0,0.000650128391398122,1.0,-0.00012748432880091816,0.999917697166725,0.0
boundary,UDT,201144,0.5665045937238993,0.4334904347134391,4.971562661575787e-06,0.00013667407842219987,7.980795203366142e-06,1.0,0.001105249231156316,1.0,-0.00023518687964424356,0.9999850853120152,0.0
boundary,RG,201144,0.13565405878375691,0.10046036670246192,0.7638855745137811,0.00014816780764610374,0.0,0.23611442548621883,0.0010974917139192114,0.23611442548621883,-0.00023332945813312638,0.23611442548621883,0.7638855745137811
boundary,ADT,201144,0.12328481088175636,0.08592351748001432,0.7907916716382293,0.0001950322217217066,0.0,0.20920832836177067,0.0010497788681689223,0.20920832836177067,-0.0002155044978054832,0.20919838523644751,0.7907916716382293
boundary,SDT,201144,0.12328481088175636,0.08592351748001432,0.7907916716382293,0.00018769611356861605,0.0,0.20920832836177067,0.001169675586758009,0.20920832836177067,-0.00022498628061551714,0.20919838523644751,0.7907916716382293
boundary,PRG_previous,201144,0.5665045937238993,0.4334904347134391,4.971562661575787e-06,7.068990364678032e-05,3.852212671517918e-06,1.0,0.0005138720553133973,1.0,-0.00010848685759320723,0.9999850853120152,0.0
interior,UDT,2277999,0.8089503112161155,0.19104705489335158,2.633890532875563e-06,0.000517195121097966,7.908100815257058e-05,1.0,0.0008643048472516115,1.0,-0.00017877196943460953,0.9999868305473356,0.0
interior,RG,2277999,0.24235919330956687,0.044177367944410864,0.7134634387460222,0.0005169631514841036,0.0,0.2865370002357332,0.0008619983032396573,0.2865370002357332,-0.00017836817575166567,0.2865348053269558,0.7134629997642667
interior,ADT,2277999,0.255934704097763,0.03157903054391156,0.7124862653583255,0.0009366017965293198,0.0,0.28751417362343,0.0009668100570472413,0.28751417362343,-0.0002030235106404916,0.287504955006565,0.71248582637657
interior,SDT,2277999,0.255934704097763,0.03157903054391156,0.7124862653583255,0.0012270326882730571,0.0,0.28751417362343,0.0011825929321189054,0.28751417362343,-0.00024102546267252528,0.287504955006565,0.71248582637657
interior,PRG_previous,2277999,0.8089503112161155,0.19104705489335158,2.633890532875563e-06,0.00030245217003840364,3.8519970985362306e-05,1.0,0.0004210915068956077,1.0,-8.714041612402616e-05,0.9999868305473356,0.0
