Delta_image_AUROC,DeepCapture,ShallowProtection,DeepSelectionPrecision,ADT:all:mean_dm,ADT:Top20:mean_dm,ADT:class0:mean_dm,ADT:class1:mean_dm,ADT:class2:mean_dm,ADT:class3:mean_dm,ADT:Raw_Correct:harm_rate,ADT:Raw_Wrong:benefit_rate,BRR_ADT,HHCR_ADT,ADT-RG:all:mean_dm,ADT-RG:Shallow-Win:harm_rate,ADT-RG:Deep-Win:benefit_rate,ADT:all:benefit_rate,ADT:all:harm_rate,ADT:Top20:benefit_rate,ADT:Top20:harm_rate,ADT:Deep-Win:benefit_rate,ADT:Deep-Win:harm_rate,ADT:Shallow-Win:benefit_rate,ADT:Shallow-Win:harm_rate
0.7836697984317627,0.6341227291026321,0.7926442646686798,0.8374466756402088,0.0008673538341380448,0.00269454487552336,0.0005396107717111933,0.0009900892439364724,0.0011096693582555335,0.0016254888727330046,0.038428179425056684,0.3486597900471263,0.6341227291026321,0.20078369315398817,0.000385125906698965,-0.014586596478763316,0.33510233815363183,0.24312138812033016,0.03603291210325139,0.37168190475800794,0.052823564792746275,0.6341227291026321,0.0,0.006545129637703391,0.20080522318569113
0.7856421844924445,0.6318438905404375,0.7939972714870396,0.8459051592177289,0.0008873150735830124,0.0027534020241189554,0.0005494399260823638,0.0009960460202143831,0.001133909045928951,0.0016957719672931755,0.038904574268779635,0.356879550335174,0.6318438905404375,0.19812278308321965,0.00039511233667302267,-0.018695770804911322,0.32980257641588534,0.24393620558223375,0.03601413757595271,0.37917608994841007,0.05016338159663257,0.6318438905404375,0.0,0.007869031377899046,0.1981282401091405
0.7867306448985869,0.647335891293198,0.7913759029956567,0.842178835831359,0.000880123197683292,0.002809166690126242,0.0005659466485203423,0.0010038496272993874,0.0010903673094871005,0.0016019331565141257,0.03733688568516042,0.3549453264088636,0.647335891293198,0.20110983330169824,0.000392200547795632,-0.017736118709735047,0.3466457615124425,0.24470292190962262,0.03524178072991064,0.38286108755085335,0.05213189348004066,0.647335891293198,0.0,0.007497515715194891,0.20112658128914843
0.7862432257500676,0.6399691215476174,0.7898250832551974,0.8326001210336791,0.0008600455914710969,0.002715181897276544,0.0005188263909613703,0.0009911587135591443,0.0010937100037573134,0.0017003431433895786,0.03800826169476387,0.35223519676486026,0.6399691215476174,0.20282474915667065,0.0003874866379475252,-0.015406253031135827,0.3433974215172669,0.24561513362142273,0.036054131290071983,0.3725372099756336,0.05422311826252713,0.6399691215476174,0.0,0.007344778902216905,0.20282474915667065
0.7836732979137189,0.6310157037525439,0.7896702557200538,0.8414591875554804,0.0008893817060529785,0.0028625348405325783,0.0005447786143830117,0.0010293555712690711,0.0011419740616715696,0.0016168419913564595,0.03847292298862781,0.3544784558062747,0.6310157037525439,0.20284320323014804,0.00039294730226611805,-0.014193584567070434,0.3382456429535988,0.24333188040811055,0.03602810603125404,0.37787055494957855,0.0516919296397989,0.6310157037525439,0.0,0.0074865410497981155,0.20284320323014804
0.7812952103746433,0.6402998462327012,0.7963655975521166,0.8437930073708829,0.0008765656686454877,0.0027401114251786158,0.0005687697022126252,0.0009720545025710074,0.0011097953297130746,0.001619118886412987,0.03765807492979767,0.3561366174392634,0.6402902357765249,0.19660114029101636,0.00039202948746391137,-0.020312809562594934,0.33761852895950795,0.2469246820550284,0.035437898314114695,0.3793430685607838,0.05129291897625048,0.6402998462327012,0.0,0.007022255486825016,0.1966066436260374
0.7897829671768611,0.6495087952207103,0.7987446480377037,0.8398328033336337,0.0008781142292842,0.0027793857500046067,0.0005582482230256497,0.0009969508163150417,0.0011500914896464527,0.0016140347157585838,0.03780381878647103,0.35575705567992544,0.6495054762694988,0.19335547814458118,0.00040724490505610137,-0.02067987446480377,0.3498937935612346,0.24353256129665918,0.03548070528575982,0.3768706850657856,0.05141796026669145,0.6495087952207103,0.0,0.007878304196369833,0.19336626295525383
0.7918148879661216,0.6467445285474535,0.7938228431889749,0.8456577763483062,0.0008875958593612819,0.002775453794864131,0.0005486952824924228,0.0010208486162824285,0.0010893750139991212,0.001726019716972046,0.03788045496042964,0.36355871227262593,0.646735187612675,0.19863382480108338,0.00039247279700184846,-0.017952803867929145,0.34211484990674634,0.24754965571048215,0.03516810896874898,0.38187078699795696,0.050770115364382626,0.6467445285474535,0.0,0.007532454818867575,0.19864470199215756
0.7858055277790743,0.6386503726714142,0.7903558158778576,0.8349787353606049,0.0008623206814903679,0.0027087295251248984,0.0005381349757165844,0.0009888116685459261,0.0010805272864977092,0.0016750238156902695,0.038914332513221545,0.3522033499751949,0.6386503726714142,0.20219687505070336,0.0003938495668961056,-0.014532258151747711,0.3408225797523339,0.24354392836771585,0.03623532406943827,0.3711042001070091,0.05377834069020867,0.6386503726714142,0.0,0.007425675639132716,0.20221310012493307
0.7812988549843287,0.6381423115190807,0.7813449755068532,0.8317583028994784,0.000864916213331784,0.0027072813188668676,0.0005198330078205857,0.0010061058154973875,0.0011078384855395436,0.0016485698615418818,0.039887541832060204,0.3504820752459639,0.6381423115190807,0.21068999450875067,0.0003806553046656414,-0.005730472084336891,0.33786949963090157,0.24462498889543946,0.03688369688991544,0.37503354707118586,0.05561588293826926,0.6381423115190807,0.0,0.007959593103860728,0.21068999450875067
