image_id,delta_iou,delta_fp,delta_fn,interior_delta,boundary_delta,contact_delta,mean_neff,max_neff,mean_entropy,mean_top5_mass,mean_top10_mass,mean_dominant_share,weighted_basis_purity,fragmentation_delta,area_ratio_delta,formal_delta_iou,neff_quartile,cluster_k2,cluster_k3,cluster_k4
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+145,-0.05595654611378814,-0.0603910071885502,0.05673123581977099,-0.05398019863193978,-0.11188782086937919,0.0035768259873118977,101.59457607177323,176.7804901673237,0.8518964654841183,0.1335953661773705,0.24040965421704663,0.029306994872886283,0.46972574790318805,333.20103746970454,-0.11712224300854816,-0.0559565461137881,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+146,-6.6432823129236596e-06,0.00021715526601378618,6.902025744554599e-06,-7.2869301620537286e-06,0.0,0.0,105.79108108658808,185.5274306865571,0.8586915436269975,0.15644310477550596,0.26276570907049407,0.04145524520157679,0.35538319995005924,333.33000016573527,0.0002102532402706339,-6.64328231292366e-06,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+147,-0.034335657319430536,0.007678858151771485,0.031021744515381564,-0.028101816573155355,-0.08058124174372523,0.0,109.21741440331118,188.17576904981308,0.8662821626749321,0.14307626600517073,0.24792147294619493,0.03502082929987039,0.38175471127033234,332.8866366808815,-0.02334288636364606,-0.0343356573194305,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+148,-0.03926388161849395,0.13127941959299796,0.009858540196715289,-0.01796028441744607,0.005026250600196014,-0.001288327750579743,123.17844281197927,159.25783800592737,0.9035016361625279,0.07683196879665995,0.14466063816663732,0.01605739051000242,0.6902107447385788,-0.0007963358629962947,0.12142087939643376,-0.0392638816184939,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+149,0.07211346085342385,-0.08871230918065377,-0.03683302641794099,0.03237880414410976,0.08626118310602013,-0.0020168683535020104,144.43542030078817,170.76392001390556,0.9389595507785502,0.06650804670617949,0.12662245484331627,0.014185827034891484,0.7066789865493774,0.007929612229532618,-0.05187928276275572,0.0721134608534238,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+15,3.0976441081076445e-06,-3.230391523450555e-05,0.0,0.0,0.0,0.0,143.77453296538783,191.14740157850673,0.9304049804773462,0.10923124605910763,0.18563825678540669,0.029996661560304297,0.6025533974170685,2.0013206531062366e-07,-3.2303915234566105e-05,-0.0516077833887764,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+150,0.24278276171280985,-0.11549686495315128,-0.19815419447306198,0.2142536588562779,0.11488946514454956,0.005838469023678239,155.7195264362249,179.980324630712,0.9540850413675266,0.06523020079668143,0.12457493497300222,0.013495000887354117,0.6081670820713043,-0.1005085790201817,0.08265732951997956,0.2427827617128098,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+151,0.11523438193662378,-0.08183421139711057,-0.07249301195927371,0.0817112564182218,0.017642257101750436,0.008415841584158423,143.75084902082472,150.60149892680354,0.9410452497204513,0.06274405336535022,0.12084742196067791,0.01303408448817436,0.7481445670127869,-0.045420134883534066,-0.009341199437844394,0.1152343819366237,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+152,0.0,0.0,0.0,0.0,0.0,0.0,147.96480674329865,192.61476086732213,0.9376902476275526,0.1074099240377519,0.18064257757326152,0.027765271111318816,0.5867263376712799,0.0,0.0,0.0,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+153,0.0,0.0,0.0,0.0,0.0,0.0,135.74771133187323,192.4265155419845,0.9122607862349715,0.1312975740411257,0.21227871731184778,0.037267556344138426,0.5667053163051605,0.0,0.0,0.0,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+154,0.0017261504675152028,0.004354163497880467,-0.01272345608598395,0.011653041593796237,0.012950528850640353,0.03215636822194201,120.56548794094344,121.93358679930309,0.9079243248318665,0.06853808689430647,0.12985635229028994,0.01447697139477282,0.7262179851531982,0.08795912845727293,0.0170776195838796,0.0017261504675151,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+155,-0.08739380550226411,0.18537407914227644,0.01351478006277805,-0.023726331899484643,0.02448417525335006,-0.004005340453938522,121.99233629457281,139.4392845219046,0.9082078736230323,0.070312419070146,0.13290673611311996,0.015018984630346701,0.838144451379776,0.09791522595028682,0.1718592990797045,-0.0873938055022641,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156,-0.07458965449183552,0.28748991579462163,0.026698138589303144,-0.026432641625112052,0.00036183930642711787,-0.15376817601572929,109.65558031788686,146.58591082038487,0.8838644669827778,0.09854346660664166,0.1830151407131538,0.021547107369068393,0.5799964666366577,-0.13991796883661375,0.2607917772056078,-0.0745896544918355,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+157,-0.1005014519111082,0.2115372026696837,0.05607149430804285,-0.05704702488763669,-0.030471287188510332,-0.021125651057433553,106.75288121268461,146.31833651203377,0.8787413324859642,0.09699303509683761,0.18294506701561133,0.0219517629236744,0.4788064608971278,0.030937691697348568,0.1554657083618738,-0.1005014519111081,Q1,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158,0.28035503033073805,-0.7024104539769038,-0.17344682771065806,0.1967901322205422,0.050853055770180455,-0.011249619945272071,130.197933420035,131.4647018338446,0.922490100587035,0.06264659756429505,0.12219682058430575,0.012886075826645603,0.6461797654628754,-0.3539218421805089,-0.5289636262668332,0.280355030330738,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+159,-0.028333612340613268,0.010394996507195775,0.031198287297647658,-0.034613959018873375,-0.00609084220613082,0.000602530628640241,134.91653310118414,151.37200471909645,0.9278241719218746,0.06343334649469083,0.12355739320222522,0.01333869234820768,0.7767843306064606,0.0026993420932045833,-0.02080329079046994,-0.0283336123406132,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+16,5.641948900236837e-06,-1.961399654792891e-05,0.0,0.0,0.0,0.0,158.01303331736537,192.79153276908667,0.954478960170964,0.07302248745330683,0.13016195911433415,0.016498124101770532,0.48912660777568817,2.2132233241066446e-07,-1.961399654792917e-05,-0.0893835157760454,Q3,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+160,-0.03912411293140344,0.014171174027509593,0.046956127117659424,-0.04735649937526537,0.0019318805000424488,0.00034698126301169196,125.34333415578715,157.9701614409201,0.9086533077812237,0.07768090274585462,0.1461688224540426,0.0165001767457201,0.757247656583786,0.042743768071491745,-0.03278495309018087,-0.0391241129314035,Q2,1,0,1
TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+161,0.0032103328751774316,-0.0029530724745733352,-0.0004441757983849835,0.001413836039422689,0.009616429478272534,-0.0746391130048637,110.63489021112174,142.86000235670295,0.8839585742100069,0.12744262344552162,0.21524298511367923,0.027823637298117775,0.5130735378091534,0.0405858325475231,-0.0025088966761903273,0.0032103328751774,Q1,1,0,1
