image_id,class,gt_area,gcqm_tp,gcqm_fp,gcqm_fn,gcqm_tn,gcqm_precision,gcqm_recall,gcqm_iou,gcqm_dice,gcqm_fp_rate,gcqm_fn_rate,sshr_tp,sshr_fp,sshr_fn,sshr_tn,sshr_precision,sshr_recall,sshr_iou,sshr_dice,sshr_fp_rate,sshr_fn_rate,delta_fp,delta_fn,normalized_delta_fp,normalized_delta_fn,delta_iou
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+191,0,24016,19268,5152,4748,21008,0.789025389025389,0.8022984676882079,0.6605869445968184,0.7956065736229251,0.19694189602446482,0.19770153231179213,23997,3439,19,22721,0.8746537396121884,0.9992088607594937,0.8740484429065744,0.9327917282127031,0.13146024464831804,0.0007911392405063291,1713,4729,0.07132744836772513,0.1969103930712038,-0.21346149830975591
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+191,1,26160,21008,4748,5152,19268,0.8156546047522907,0.8030581039755351,0.6796945774556749,0.8093073426304029,0.19770153231179213,0.19694189602446482,22721,19,3439,23997,0.9991644678979771,0.8685397553516819,0.8679093930249436,0.9292842535787321,0.0007911392405063291,0.13146024464831804,4729,1713,0.18077217125375353,0.06548165137612176,-0.18821481556926878
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+192,0,7690,7690,13664,0,28822,0.3601198838625082,1.0,0.3601198838625082,0.5295413854840931,0.32161182507178837,0.0,7690,12695,0,29791,0.37723816531763554,1.0,0.37723816531763554,0.5478183437221728,0.2988043120086617,0.0,969,0,0.12600780234053835,0.0,-0.017118281455127338
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+192,1,42486,28822,0,13664,7690,1.0,0.6783881749282117,0.6783881749282117,0.8083805463622595,0.0,0.32161182507178837,29791,0,12695,7690,1.0,0.7011956879913384,0.7011956879913384,0.8243562959170967,0.0,0.2988043120086617,0,969,0.0,0.022807513063121312,-0.022807513063126672
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+193,0,49865,49865,311,0,0,0.9938018176020408,1.0,0.9938018176020408,0.9968912745774232,1.0,0.0,49865,311,0,0,0.9938018176020408,1.0,0.9938018176020408,0.9968912745774232,1.0,0.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+193,1,311,0,0,311,49865,,0.0,0.0,0.0,0.0,1.0,0,0,311,49865,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+194,0,50176,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+195,0,50176,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+196,0,50176,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+197,0,50176,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+198,0,26034,17058,71,8976,24071,0.9958549827777453,0.6552200967964968,0.6534380386899061,0.7903991844867132,0.002940932814182752,0.3447799032035031,23849,416,2185,23726,0.9828559653822377,0.9160712913881847,0.901663516068053,0.9482892304021949,0.017231380995774998,0.08392870861181533,-345,6791,-0.013251901359755222,0.26085119459158757,-0.24822547737814682
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+198,3,24142,24071,8976,71,17058,0.7283868429812086,0.9970590671858173,0.7268252913823299,0.8418052422668695,0.3447799032035031,0.002940932814182752,23726,2185,416,23849,0.9156728802439118,0.982768619004225,0.9012040870589129,0.948035082812219,0.08392870861181533,0.017231380995774998,6791,-345,0.2812940104381239,-0.014290448181586327,-0.174378795676583
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+199,3,50176,50175,0,1,0,1.0,0.9999800701530612,0.9999800701530612,0.9999900349772299,,1.992984693877551e-05,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,0,1,0.0,1.9929846938771538e-05,-1.992984693877098e-05
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+2,0,3613,0,1,3613,46562,0.0,0.0,0.0,0.0,2.1476279449348196e-05,1.0,3531,3509,82,43054,0.5015625,0.9773041793523388,0.495787700084246,0.6629118558152634,0.07536026458776282,0.022695820647661222,-3508,3531,-0.9709382784362831,0.9773041793496339,-0.495787700084246
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+2,1,6127,0,0,6127,44049,,0.0,0.0,0.0,0.0,1.0,0,0,6127,44049,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+2,3,40436,40435,9740,1,0,0.8058794220229197,0.9999752695617766,0.8058633609693877,0.8924964960104181,1.0,2.473043822336532e-05,39791,3345,645,6395,0.92245456231454,0.9840488673459293,0.9088645759576072,0.9522567367060738,0.343429158110883,0.01595113265407063,6395,-644,0.1581511524383821,-0.01592640221584333,-0.10300121498821946
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+20,1,50176,50175,0,1,0,1.0,0.9999800701530612,0.9999800701530612,0.9999900349772299,,1.992984693877551e-05,50176,0,0,0,1.0,1.0,1.0,1.0,,0.0,0,1,0.0,1.9929846938771538e-05,-1.992984693877098e-05
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+200,0,8231,0,1,8231,41944,0.0,0.0,0.0,0.0,2.3840743831207534e-05,1.0,688,16,7543,41929,0.9772727272727273,0.08358644150164014,0.08342427549411907,0.1540011191941802,0.00038145190129932054,0.9164135584983598,-15,688,-0.0018223788118068005,0.08358644150153859,-0.08342427549411907
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+200,1,178,0,0,178,49998,,0.0,0.0,0.0,0.0,1.0,0,0,178,49998,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+200,3,41767,41766,8409,1,0,0.832406576980568,0.9999760576531712,0.832389987244898,0.9085292902046943,1.0,2.3942346828836164e-05,41767,7705,0,704,0.8442553363518758,1.0,0.8442553363518758,0.9155514637380945,0.9162801760019027,0.0,704,1,0.016855412167496624,2.394234682883043e-05,-0.011865349106977785
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+201,0,49788,49788,388,0,0,0.9922672193877551,1.0,0.9922672193877551,0.996118602696971,1.0,0.0,49788,388,0,0,0.9922672193877551,1.0,0.9922672193877551,0.996118602696971,1.0,0.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+201,1,388,0,0,388,49788,,0.0,0.0,0.0,0.0,1.0,0,0,388,49788,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+202,0,36855,36855,13321,0,0,0.7345145089285714,1.0,0.7345145089285714,0.846939596235824,1.0,0.0,36855,13321,0,0,0.7345145089285714,1.0,0.7345145089285714,0.846939596235824,1.0,0.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+202,1,13321,0,0,13321,36855,,0.0,0.0,0.0,0.0,1.0,0,0,13321,36855,,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+203,0,30967,30967,19209,0,0,0.6171675701530612,1.0,0.6171675701530612,0.7632697829757342,1.0,0.0,30967,19209,0,0,0.6171675701530612,1.0,0.6171675701530612,0.7632697829757342,1.0,0.0,0,0,0.0,0.0,0.0
