stratum,loss,targets,dQ_mean,dQ_median,dQ_positive_fraction,dQ_negative_fraction,dQ_zero_fraction,CosCollapse_mean,CosCollapse_median,CosCollapse_positive_fraction,CosCollapse_negative_fraction,CosCollapse_zero_fraction
class0,PRG,965133,-7.27250349082939e-05,-5.343029206108643e-06,3.1083798813220563e-06,0.9999968916201187,0.0,-0.8403718583025261,-0.9962866221373416,3.1083798813220563e-06,0.9999968916201187,0.0
class1,Uraw,1044692,-4.468770925951377e-05,-2.239663083030786e-05,1.4358298905323292e-05,0.9999856417010947,0.0,-0.93358697237401,-0.9988913856105269,1.4358298905323292e-05,0.9999856417010947,0.0
class1,FAraw,1044692,-9.22987223455378e-05,-1.5587131023379658e-05,1.4358298905323292e-05,0.9999856417010947,0.0,-0.8722140665562778,-0.9981990716157589,1.4358298905323292e-05,0.9999856417010947,0.0
class1,PRG,1044692,-8.98667842751981e-05,-1.5062474773076807e-05,1.4358298905323292e-05,0.9999856417010947,0.0,-0.8719038853225958,-0.9981543950593608,1.4358298905323292e-05,0.9999856417010947,0.0
class2,Uraw,323515,-6.109469938688044e-05,-4.408281594287773e-05,9.273140348979182e-06,0.9999907268596511,0.0,-0.9656367936736145,-0.9990094907638298,9.273140348979182e-06,0.9999907268596511,0.0
class2,FAraw,323515,-0.00011460448811673462,-3.6720341080968876e-05,9.273140348979182e-06,0.9999907268596511,0.0,-0.9099178617073922,-0.998373691002637,9.273140348979182e-06,0.9999907268596511,0.0
class2,PRG,323515,-0.0001164311452869625,-3.483539733099817e-05,9.273140348979182e-06,0.9999907268596511,0.0,-0.9094610992864055,-0.9983106681901268,9.273140348979182e-06,0.9999907268596511,0.0
class3,Uraw,145803,-9.133710955901672e-05,-0.00010058850607675596,8.230283327503549e-05,0.999917697166725,0.0,-0.987789389716469,-0.9998726680915437,8.230283327503549e-05,0.999917697166725,0.0
class3,FAraw,145803,-0.00013549274829024232,-0.00013152786282811694,8.230283327503549e-05,0.999917697166725,0.0,-0.9728331957585171,-0.9998832817013177,8.230283327503549e-05,0.999917697166725,0.0
class3,PRG,145803,-0.00012748432880091816,-0.00012351702850626204,8.230283327503549e-05,0.999917697166725,0.0,-0.9726462430545127,-0.9998748051391878,8.230283327503549e-05,0.999917697166725,0.0
boundary,Uraw,201144,-5.5969380059028e-05,-4.05137263971387e-05,1.491468798472736e-05,0.9999850853120152,0.0,-0.9673700894821057,-0.9992796456149786,1.491468798472736e-05,0.9999850853120152,0.0
boundary,FAraw,201144,-0.00011759343938413221,-3.754370063258517e-05,1.491468798472736e-05,0.9999850853120152,0.0,-0.9253250798380178,-0.9989671421457407,1.491468798472736e-05,0.9999850853120152,0.0
boundary,PRG,201144,-0.00010848685759320723,-3.487801371510959e-05,1.491468798472736e-05,0.9999850853120152,0.0,-0.9249169504671274,-0.9989164458623588,1.491468798472736e-05,0.9999850853120152,0.0
interior,Uraw,2277999,-4.409742244847746e-05,-1.9733729797668175e-05,1.3169452664377816e-05,0.9999868305473356,0.0,-0.9360013043096922,-0.9987223562287361,1.3169452664377816e-05,0.9999868305473356,0.0
interior,FAraw,2277999,-8.938598464974309e-05,-1.3025657523015493e-05,1.3169452664377816e-05,0.9999868305473356,0.0,-0.8659763526373014,-0.9978535706338424,1.3169452664377816e-05,0.9999868305473356,0.0
interior,PRG,2277999,-8.714041612402616e-05,-1.2595259411865043e-05,1.3169452664377816e-05,0.9999868305473356,0.0,-0.8656453225446901,-0.9978017210862181,1.3169452664377816e-05,0.9999868305473356,0.0
