teacher-raw_accuracy_delta,teacher_NetRepair_count,teacher_NetRepair_rate,PRG:all:mean_dm,PRG:Top20:mean_dm,PRG:class0:mean_dm,PRG:class1:mean_dm,PRG:class2:mean_dm,PRG:class3:mean_dm,PRG:Raw_Correct:harm_rate,PRG:Raw_Wrong:benefit_rate,Deep-Win:BRR,Shallow-Win:HHCR,Shallow-Win:teacher_accuracy,PRG:all:benefit_rate,PRG:all:harm_rate,PRG:Top20:benefit_rate,PRG:Top20:harm_rate,teacher-raw_mIoU_delta
0.06835950247880881,168623.0,0.06835950247880881,0.000275754357898757,0.0008511087443103149,9.947812893910317e-05,0.000312984075423428,0.0004830785649046629,0.0007523408557269461,0.13912340167221415,0.6039017088257308,0.9999869752236191,0.9630987728435524,0.37517239141369074,0.7882186346261355,0.2117785275847293,0.7108747993579454,0.2891147505350455,0.15665013310692627
0.06869806094182826,170128.0,0.06869806094182826,0.00028077326163132127,0.0008613694051348552,9.895416726310548e-05,0.00032242143229991346,0.0005014762069588457,0.0007311843769065909,0.13849059167945457,0.5996354525877237,0.9999935808967487,0.9631923187751795,0.36009547162220207,0.786380155544608,0.2136190368509889,0.7144700388526696,0.2855278967121806,0.1535144014889543
0.068625483570221,169960.0,0.068625483570221,0.00028002745432045373,0.0008652006426032184,0.00010809041252105545,0.0003111778115820006,0.0005062518338298627,0.0007253318859016354,0.137046709236826,0.6045764545479361,0.9999967746201309,0.961772131281049,0.3657735429052312,0.7903369537084854,0.20966102741991036,0.7141921338164947,0.2857995214282883,0.1549410536716932
0.07196575953400206,178550.0,0.07196575953400206,0.0002868619166706233,0.000889137579249121,0.00010685997954935412,0.00032561170091343716,0.0004868862776672968,0.0007314678954836817,0.13698850694193362,0.6072702056042164,1.0,0.9615532826142006,0.3708093408347738,0.7897281826459136,0.21026899595774515,0.7236401256265387,0.27634753384903016,0.15820697093636532
0.0695769218657522,172338.0,0.0695769218657522,0.00028318772979878327,0.0008867988554730587,0.00011474931303095474,0.00031155841406604363,0.0004877054427963061,0.0007334080799286099,0.13599822395859518,0.6009228640197647,0.9999967603361475,0.9638407845909172,0.3774849796783884,0.7889397490938423,0.2110574248407916,0.717982319986166,0.28200934628117597,0.1528461914045411
0.06972271811334922,172900.0,0.06972271811334922,0.0002831371236530862,0.0008795413941644553,9.94018576266623e-05,0.0003167781336733967,0.000512709324337813,0.0007431402928230878,0.13782785265332306,0.606174473291674,0.9999903642320292,0.962583100069979,0.3721078988803359,0.789780964205913,0.21021742277573843,0.7167347567704885,0.2832610786971677,0.15383052859243562
0.07185466125035261,177539.0,0.07185466125035261,0.00028472512890285827,0.0008803177089865804,0.00011321135430670496,0.00031112462574911124,0.0005007869385749396,0.000747572042112346,0.1359848983912516,0.6072992597913893,0.9999873098862331,0.961957426039113,0.37078614294113077,0.7902515251090029,0.2097452370824593,0.7233297257999224,0.27665788190973456,0.1586281290233823
0.07206256456519985,177812.0,0.07206256456519985,0.000281569051133742,0.0008651475770783232,0.00010326698069567653,0.0003132766830878201,0.00048599197008059324,0.0007201766552081222,0.13704372585233002,0.6061914242566502,0.9999936568749961,0.9623895388850654,0.3727735719201652,0.789362937781944,0.2106330094789515,0.7203358799981898,0.2796476633629964,0.15894161921969474
0.07072014908424216,175932.0,0.07072014908424216,0.00027998197788495867,0.0008651854465796388,0.00010149644183380097,0.0003157263190569155,0.0004982201216799294,0.0007397422808155346,0.13767303857684804,0.6037312386028896,0.9999968277734776,0.963376950368138,0.3701543944934629,0.7882218303419073,0.21177696373508123,0.7187696609577071,0.2812262269465633,0.1566227098271149
0.07164990628967574,177767.0,0.07164990628967574,0.0002885678741652931,0.0008955838795842369,0.00010647524272273961,0.0003188752267866326,0.0005140172095697017,0.000725273148481114,0.1398829886837296,0.6114387043788879,0.9999968558798191,0.9618568353067815,0.37266415500538214,0.7895749783357853,0.21042179722294996,0.7197925990567865,0.2801931283655248,0.15503561630646856
0.06937989793137579,171593.0,0.06937989793137579,0.00028253706462903365,0.0008735654752523126,0.00010701263473495799,0.00031985955167743234,0.0004974356413926863,0.0007481603788571882,0.13569711728700734,0.6042984337058548,0.9999870901526913,0.9606700937004787,0.36641470053945413,0.7902700831864948,0.20972829950049288,0.7172328016889985,0.28276092727690794,0.1532282263292415
0.07583929046677987,187504.0,0.07583929046677987,0.0002852484281941012,0.0008753817661230192,9.256156243898368e-05,0.0003193625597723517,0.0005085739467749413,0.0007305134826040813,0.14072077165452052,0.6072333239515902,0.999984800629862,0.9619906483220249,0.3684281325161825,0.7846618610524408,0.21533409427168734,0.7246076239884289,0.27537843017719177,0.1634467823310634
0.07268625086481698,179863.0,0.07268625086481698,0.0002805091923520304,0.0008580135173733313,0.00010080360426323018,0.0003094316898495663,0.0005189536678514584,0.0007559933531161846,0.14176368868248235,0.6124491472548693,0.9999844188220629,0.9637899305370876,0.3741157573372196,0.7878696890538417,0.21212586562522226,0.7185552136407204,0.28142864349493013,0.16117673061084592
0.07141373258641821,178067.0,0.07141373258641821,0.0002827263224239029,0.0008691098047021774,9.549765642640344e-05,0.00032695868160558986,0.0005111173147147099,0.0007356562746460978,0.1388517994033352,0.6078415427346413,1.0,0.9620768561391446,0.3702931792056552,0.7886904761904762,0.21130551331164457,0.7181247727369681,0.28186100745321174,0.1562602934912644
0.073891187670414,183683.0,0.073891187670414,0.0002913411498868038,0.0009024517258075122,0.00011174919767958317,0.0003187092817709585,0.0005188484027959398,0.0007336656860882349,0.135118798347016,0.6118493288816188,0.9999937731948492,0.9606488034771603,0.3674166097686889,0.7921993130741981,0.20779666416987616,0.7273256147423449,0.272657997591013,0.15938672456719943
0.069197638508322,171701.0,0.069197638508322,0.00028150648514716327,0.0008751672855452182,0.00010606578640637343,0.00031723592627559385,0.0005089823718632763,0.0007438874533631507,0.14116548802818404,0.6062233614667678,1.0,0.9632717116637851,0.3828221838010374,0.787583025599753,0.21241576536293486,0.710113229899984,0.289882627795279,0.15253316781114823
0.07297242710916861,180652.0,0.07297242710916861,0.0002872408810736521,0.0008893199671031359,0.00010467247506220087,0.00031515866609167553,0.0005165694831715965,0.00071621138247514,0.13706270557847083,0.6082491906701097,0.9999905707227227,0.9622972163776101,0.3770882661553928,0.7897480227175414,0.21024914970795194,0.7232552364965391,0.2767324507850384,0.1577034232900671
0.07117496110403912,176126.0,0.07117496110403912,0.000285840416819201,0.0008855160661709717,0.00010623813678050875,0.0003190061500569546,0.0004955321202922587,0.0007353416879676083,0.1355160372536514,0.6059485662640703,0.9999808518379044,0.9619627276859458,0.37292269487034513,0.7907304358368188,0.20926713947990544,0.7206789068729483,0.27931280872347697,0.15378947535306242
0.07652980924494629,189151.0,0.07652980924494629,0.0002943447921351114,0.0009136432121040403,0.00011086322496862851,0.000326252910499849,0.0005147750375446628,0.0007405741405913354,0.13460899100283824,0.6106600412786924,0.9999969202435471,0.9609788359788359,0.3750168146354587,0.791386466817635,0.2086123193932349,0.7291454211707118,0.2708504996940649,0.16357140163658873
0.0714165195488074,178196.0,0.0714165195488074,0.00029159482654316437,0.0009130053882189131,0.00011932700305062279,0.00033133843810085624,0.0005001831486073257,0.000715613518360525,0.13216918308124484,0.6056121465659933,1.0,0.96174193657201,0.3688909378144835,0.793672161961233,0.20632342951267751,0.7225165687093595,0.27746051323934157,0.1569617296920251
