stratum,loss,targets,benefit_rate,harm_rate,zero_rate,mean_dm,median_dm,mean_gradient_norm,active_fraction
class2,Uraw,323515,0.7489575444724356,0.2510393644807814,3.091046782993061e-06,0.00023469237615364482,0.00016069853882072493,0.0003121810128750625,1.0
class2,FAraw,323515,0.7489575444724356,0.2510393644807814,3.091046782993061e-06,0.00047653017751907384,7.550970622105524e-05,0.0005546076947337018,1.0
class2,PRG,323515,0.7489575444724356,0.2510393644807814,3.091046782993061e-06,0.0005026741226755879,7.147641554183792e-05,0.000574052776158666,1.0
class3,Uraw,145803,0.797315555921346,0.20268444407865407,0.0,0.00048014928339270093,0.000553247140487656,0.0004526794967714098,1.0
class3,FAraw,145803,0.797315555921346,0.20268444407865407,0.0,0.0007592575240827065,0.0006380150152835995,0.0006789485440314585,1.0
class3,PRG,145803,0.797315555921346,0.20268444407865407,0.0,0.0007346799912478698,0.0005954613152425736,0.000650128391398122,1.0
boundary,Uraw,201144,0.5665045937238993,0.4334904347134391,4.971562661575787e-06,4.3279978042627996e-05,3.3214492759725545e-05,0.0002824073492548383,1.0
boundary,FAraw,201144,0.5665095652865608,0.4334904347134391,0.0,6.833703768661916e-05,3.990400898601365e-06,0.0005526246139946736,1.0
boundary,PRG,201144,0.5665045937238993,0.4334904347134391,4.971562661575787e-06,7.068990364678032e-05,3.852212671517918e-06,0.0005138720553133973,1.0
interior,Uraw,2277999,0.8089503112161155,0.19104705489335158,2.633890532875563e-06,0.00016954571035357352,0.0001047429941536393,0.00023260302189585997,1.0
interior,FAraw,2277999,0.808950750197871,0.19104705489335158,2.1949087773963025e-06,0.00025859756331229704,3.9540538637083955e-05,0.00043215242450906857,1.0
interior,PRG,2277999,0.8089503112161155,0.19104705489335158,2.633890532875563e-06,0.00030245217003840364,3.8519970985362306e-05,0.0004210915068956077,1.0
