stage,gt_class,gt_class_name,group,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,corrected_minus_harmed_mean,cohen_d_exact_moments,welch_p_on_reservoir,mann_whitney_p_on_reservoir,statistical_warning
stage1,1,stroma,CORRECTED_BY_FAMPR,g_high,1093558,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,g_high_over_low,1093558,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,g_low_channel_std,1093558,0.0006866455078125,0.0,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,0.0006866455078125,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,g_high_channel_std,1093558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,anchor_lambda,1093558,0.341796875,0.0,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,0.341796875,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,gamma_context,1093558,1.1953125,0.0,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,1.1953125,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,r_fa,1093558,0.7808285679556909,0.036491847939233886,0.5570157766342163,0.7321702718734742,0.7603226155042648,0.7872439920902252,0.8063534498214722,0.8198356568813324,1.2309279441833496,"deterministic sampled reservoir, max=20000, stride=64",0.00614535682043138,0.16418477429860168,1.867374092796398e-41,7.755150846323915e-54,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,CORRECTED_BY_FAMPR,r_mpr,1093558,0.267249790754597,0.012489858904532648,0.19064664840698242,0.25059581696987154,0.2602313458919525,0.2694455534219742,0.275986023247242,0.2806005239486694,0.42130276560783386,"deterministic sampled reservoir, max=20000, stride=64",0.0021033366616983185,0.16418477729576744,1.8640010229764026e-41,7.755292722049695e-54,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,morphology,929590,0.39721967801548663,0.03835358445810392,0.16656494140625,0.3515034973621368,0.3728128969669342,0.3973897397518158,0.4219004362821579,0.4444051027297974,0.5390625,"deterministic sampled reservoir, max=20000, stride=64",-0.013227261155492331,-0.3231803961136766,6.272728406470611e-194,2.88493475459001e-181,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,dilation,929590,4.616668544376887,0.2301738171627577,3.7626953125,4.3312499046325685,4.46826171875,4.618001461029053,4.765055418014526,4.885709667205811,6.005045413970947,"deterministic sampled reservoir, max=20000, stride=64",0.079343581263978,0.32305184176459434,8.097949881789402e-194,3.883565582082148e-181,exploratory only; reservoir approximation and spatially correlated pixels
stage1,1,stroma,HARMED_BY_FAMPR,band_weight_0,929590,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",0.0,nan,nan,1.0,exploratory only; reservoir approximation and spatially correlated pixels
