stage,gt_class,gt_class_name,zone,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,zone_pixels,a0_accuracy,fampr_accuracy,corrected_rate,harmed_rate,net_correction_rate
stage3,0,tumor,interior,morphology,59725320,0.22640851317246208,0.04146457195133443,0.10304323583841324,0.1679182693362236,0.1949482001364231,0.22523625195026398,0.2524782866239548,0.2773964017629624,0.3883158266544342,"deterministic sampled reservoir, max=20000, stride=64",59725320,0.8846160891226702,0.877944697491784,0.011227013936467816,0.017898405567354014,-0.006671391630886197
stage3,0,tumor,interior,dilation,59725320,5.641531172247201,0.2488644086284488,4.666056156158447,5.334863138198853,5.485025882720947,5.64862060546875,5.828175783157349,5.989664554595947,6.375,"deterministic sampled reservoir, max=20000, stride=64",59725320,0.8846160891226702,0.877944697491784,0.011227013936467816,0.017898405567354014,-0.006671391630886197
stage3,0,tumor,interior,high_frequency_ratio,59725320,0.25185734438215845,0.0483008316509343,0.11206790059804916,0.18665656447410583,0.21423019841313362,0.2491488978266716,0.2821886017918587,0.31222101747989656,0.4511476457118988,"deterministic sampled reservoir, max=20000, stride=64",59725320,0.8846160891226702,0.877944697491784,0.011227013936467816,0.017898405567354014,-0.006671391630886197
stage3,0,tumor,interior,r_mpr,59725320,0.24594624996573472,0.02012345307090906,0.18347103893756866,0.22202214747667312,0.23212455213069916,0.24582147598266602,0.2618880569934845,0.2734600991010666,0.4491638243198395,"deterministic sampled reservoir, max=20000, stride=64",59725320,0.8846160891226702,0.877944697491784,0.011227013936467816,0.017898405567354014,-0.006671391630886197
stage1,1,stroma,boundary,morphology,4113879,0.3886187086088965,0.037627357413563114,0.1289520263671875,0.3438710540533066,0.3644002377986908,0.3877970278263092,0.4128011167049408,0.436065673828125,0.5520833134651184,"deterministic sampled reservoir, max=20000, stride=64",4113879,0.5787411345836861,0.590632830960755,0.03694347840566045,0.025051782028591506,0.011891696377068942
stage1,1,stroma,boundary,dilation,4113879,4.668273220180532,0.22580352862230266,3.6848957538604736,4.38427734375,4.520833492279053,4.671224117279053,4.816446900367737,4.937174320220947,6.220377445220947,"deterministic sampled reservoir, max=20000, stride=64",4113879,0.5787411345836861,0.590632830960755,0.03694347840566045,0.025051782028591506,0.011891696377068942
stage1,1,stroma,boundary,high_frequency_ratio,4113879,0.4115397970697482,0.041917504668826336,0.12464732676744461,0.36183102130889894,0.3843819499015808,0.410097673535347,0.4377947747707367,0.4646375566720963,0.6070894002914429,"deterministic sampled reservoir, max=20000, stride=64",4113879,0.5787411345836861,0.590632830960755,0.03694347840566045,0.025051782028591506,0.011891696377068942
stage1,1,stroma,boundary,r_mpr,4113879,0.2647701252043166,0.014815826210083488,0.19068171083927155,0.244059756398201,0.2574509456753731,0.2678362727165222,0.27528364211320877,0.2803743213415146,0.4115466773509979,"deterministic sampled reservoir, max=20000, stride=64",4113879,0.5787411345836861,0.590632830960755,0.03694347840566045,0.025051782028591506,0.011891696377068942
stage2,1,stroma,boundary,morphology,4113879,0.35820363721979925,0.042182568847179205,0.16223907470703125,0.3030817747116089,0.32984161376953125,0.35969288647174835,0.3886343613266945,0.4115933656692505,0.5331547856330872,"deterministic sampled reservoir, max=20000, stride=64",4113879,0.5787411345836861,0.590632830960755,0.03694347840566045,0.025051782028591506,0.011891696377068942
stage2,1,stroma,boundary,dilation,4113879,4.850785352917944,0.2531520331344853,3.8017170429229736,4.530228805541992,4.6676329374313354,4.842000484466553,5.021006226539612,5.1812460899353034,6.0201416015625,"deterministic sampled reservoir, max=20000, stride=64",4113879,0.5787411345836861,0.590632830960755,0.03694347840566045,0.025051782028591506,0.011891696377068942
stage2,1,stroma,boundary,high_frequency_ratio,4113879,0.39192715762774594,0.050549369342219666,0.15980124473571777,0.3271523088216782,0.3585178852081299,0.3929068148136139,0.42731137573719025,0.4564050316810608,0.6378546953201294,"deterministic sampled reservoir, max=20000, stride=64",4113879,0.5787411345836861,0.590632830960755,0.03694347840566045,0.025051782028591506,0.011891696377068942
stage2,1,stroma,boundary,r_mpr,4113879,0.2518925487739705,0.018971382613633802,0.1910661906003952,0.22585674822330476,0.23792605102062225,0.2534649223089218,0.26491349935531616,0.2748477548360825,0.6511596441268921,"deterministic sampled reservoir, max=20000, stride=64",4113879,0.5787411345836861,0.590632830960755,0.03694347840566045,0.025051782028591506,0.011891696377068942
stage3,1,stroma,boundary,morphology,4113879,0.24293297407372114,0.03962741911425781,0.09380849450826645,0.19020449370145798,0.21463489159941673,0.2429656982421875,0.2709064483642578,0.2941724240779877,0.3908589780330658,"deterministic sampled reservoir, max=20000, stride=64",4113879,0.5787411345836861,0.590632830960755,0.03694347840566045,0.025051782028591506,0.011891696377068942
stage3,1,stroma,boundary,dilation,4113879,5.542372601464713,0.23780661739307873,4.651814937591553,5.234554195404053,5.375559568405151,5.543111085891724,5.7133790254592896,5.858565139770508,6.437296390533447,"deterministic sampled reservoir, max=20000, stride=64",4113879,0.5787411345836861,0.590632830960755,0.03694347840566045,0.025051782028591506,0.011891696377068942
