stage,gt_class,gt_class_name,metric,count,mean,std,min,p10,p25,p50,p75,p90,max,quantile_method,correlation_with_morphology,correlation_with_high_frequency_ratio
stage2,0,tumor,g_high,61781842,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,0,tumor,g_high_over_low,61781842,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,0,tumor,g_low_channel_std,61781842,0.001739501953125,0.0,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,0.001739501953125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,0,tumor,g_high_channel_std,61781842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,0,tumor,anchor_lambda,61781842,0.326171875,0.0,0.326171875,0.326171875,0.326171875,0.326171875,0.326171875,0.326171875,0.326171875,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,0,tumor,gamma_context,61781842,1.5859375,0.0,1.5859375,1.5859375,1.5859375,1.5859375,1.5859375,1.5859375,1.5859375,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,0,tumor,r_fa,61781842,0.7474215939219032,0.05307407376777905,0.5635583996772766,0.6745892226696014,0.7065032869577408,0.7565807998180389,0.7913667410612106,0.8083886504173279,1.5784287452697754,"deterministic sampled reservoir, max=20000, stride=64",-0.07353891132553601,-0.09282972908085126
stage2,0,tumor,r_mpr,61781842,0.24314801452177615,0.017265831175961328,0.18333439528942108,0.2194545090198517,0.22983664274215698,0.2461276352405548,0.2574440538883209,0.2629815250635147,0.513487696647644,"deterministic sampled reservoir, max=20000, stride=64",-0.07353890948344062,-0.0928297276042461
stage2,1,stroma,morphology,66845621,0.3390746372591878,0.04986511904137873,0.12526004016399384,0.28078435361385345,0.315299354493618,0.3504180908203125,0.38297589868307114,0.40945536196231846,0.5591023564338684,"deterministic sampled reservoir, max=20000, stride=64",1.0000000000006752,0.9794802323219254
stage2,1,stroma,dilation,66845621,4.9655459920491385,0.29923053042737924,3.6456706523895264,4.543009281158447,4.701680421829224,4.897786617279053,5.108011960983276,5.315470218658447,6.247477054595947,"deterministic sampled reservoir, max=20000, stride=64",-0.9998517979161207,-0.97933576111322
stage2,1,stroma,band_weight_0,66845621,0.9921875,0.0,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,1,stroma,band_weight_1,66845621,1.0078125,0.0,1.0078125,1.0078125,1.0078125,1.0078125,1.0078125,1.0078125,1.0078125,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,1,stroma,band_weight_2,66845621,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,1,stroma,band_weight_3,66845621,1.2109375,0.0,1.2109375,1.2109375,1.2109375,1.2109375,1.2109375,1.2109375,1.2109375,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,1,stroma,high_frequency_ratio,66845621,0.3716708335871464,0.05875822327343187,0.12118057161569595,0.30314019322395325,0.3422205448150635,0.3822798430919647,0.42182812839746475,0.4544741779565812,0.6607629656791687,"deterministic sampled reservoir, max=20000, stride=64",0.9794802323219254,0.9999999999988504
stage2,1,stroma,g_low,66845621,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,1,stroma,g_high,66845621,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
stage2,1,stroma,g_high_over_low,66845621,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"deterministic sampled reservoir, max=20000, stride=64",nan,nan
