group,targets,SS_pixel_mean,SS_image_mean,SS_std,SD_pixel_mean,SD_image_mean,SD_std,Delta_pixel_mean,Delta_image_mean,Delta_std,wD_pixel_mean,wD_image_mean,wD_std,JS_ctx_shallow_pixel_mean,JS_ctx_shallow_image_mean,JS_ctx_shallow_std,JS_ctx_deep_pixel_mean,JS_ctx_deep_image_mean,JS_ctx_deep_std,consensus_closer_deep_fraction,consensus_js_exact_ties
Top20_Deep_Wrong,196453,0.8357125543082229,0.8187057533092144,0.09951301756337431,0.49187069192679594,0.5014827923714831,0.1901413620139863,-0.34384186234414615,-0.31722296090812097,0.22749422770405398,0.3592582590872169,0.3686015395207694,0.10615329821666229,0.05653693002499948,0.06722232435375584,0.06402924970334575,0.31733790015501656,0.3082767702055295,0.13892081792133765,0.05887413274421872,0
Shallow_Correct,1770736,0.882363966969405,0.8694070376227874,0.08376727603586241,0.7800902801015487,0.7470757691463676,0.15277119584013274,-0.10227368686356043,-0.12233126845957228,0.12678079571351472,0.4649856596100798,0.4566242218077403,0.05169055082410593,0.04305320190892079,0.04897214587825298,0.049867069919202485,0.12979294314115386,0.15016674725536183,0.09690652813121506,0.03912384454825564,0
Shallow_Wrong,708407,0.8097073167174099,0.7804771342379674,0.1166816374516945,0.6304007265909233,0.6650106354182255,0.18024020701623233,-0.17930659012592395,-0.11546649880237746,0.20817535049113894,0.43112422251404003,0.4524412463152509,0.08562766241748672,0.0759021438372725,0.09645113139733205,0.07717231813857098,0.21980342587867266,0.19804469899442717,0.12638909238881646,0.13182393736933712,0
Top20_Shallow_Correct,171778,0.8587082864622073,0.854348625438627,0.07819337496060826,0.5499996311487797,0.593661249994975,0.19671056211758414,-0.3087086552772326,-0.26068737541278936,0.22102277318232935,0.37895473989628703,0.39736909521066927,0.09997773310904551,0.04132086391091037,0.04397137122647705,0.048777180798044134,0.2792987888480638,0.25060340432763395,0.13834305145459244,0.04892943217408516,0
Top20_Shallow_Wrong,313673,0.8113068219413581,0.774136225875086,0.11784031283976755,0.5648811673482006,0.6351887608000009,0.1895828629612938,-0.24642565459169657,-0.13894746505344027,0.25760240694709874,0.4024410024936259,0.44112444653304544,0.10695479995569389,0.07446967315970776,0.09868117647063629,0.07696459924612983,0.2687763133043952,0.22194587759739293,0.13466291205450936,0.14670373286830554,0
Both_Wrong,393677,0.8057568533812105,0.7705158922789757,0.1188520038889359,0.6190155120615197,0.5802069943422842,0.1756864539663722,-0.18674134131292489,-0.19030889793919775,0.16675379331724555,0.4275968652072238,0.42031156084186905,0.07454664436247341,0.07832033110902031,0.10217255292211545,0.07922496636221753,0.22604900103966233,0.25105561158488027,0.12219281977028136,0.06535306863240677,0
Both_Correct,1587837,0.8846008340705015,0.868409549143286,0.08357729066653759,0.8037882569742997,0.7655879636789081,0.12624642878697787,-0.08081257709484573,-0.10282158545830693,0.0877739736267178,0.47384645820771154,0.464831922729662,0.0324007869138513,0.04329496912073117,0.05088151008073402,0.04974225437456543,0.11515848247769055,0.13848824423036274,0.07700596614554721,0.03619704037631067,0
Corrected_by_CH,305318,0.8089768565040707,0.7808019875609518,0.1171735897583427,0.6277975009151175,0.6704356692860587,0.18778575839798128,-0.18117935559690845,-0.11036631827554766,0.2371176767790485,0.4298512435293353,0.45403195939877455,0.09504225715240311,0.07517954369147302,0.09435938933896663,0.07676553801845705,0.2218791659755043,0.1943705152082121,0.1334995547766093,0.1817089067791614,0
Still_Wrong,378130,0.81500795395805,0.7611659926161842,0.11794911845463503,0.6253258571257667,0.6048925275368763,0.1713657854660014,-0.18968209683104204,-0.15627346509813783,0.1766172020099883,0.42822371242076335,0.4378757525346721,0.07565578782965125,0.07313181350929587,0.10762269814959885,0.07862131296411326,0.22262458336135418,0.2334680855946625,0.1192938747239386,0.06863777007907333,0
Harmed_by_CH,69617,0.8186606471010401,0.8093846527410145,0.0950500484519978,0.6144007311313233,0.5992179322874139,0.1663565658152066,-0.20425991594264006,-0.21016672040363515,0.18371673255572504,0.42219472356679044,0.41754603903510645,0.07741853891906775,0.05989268394241313,0.06554339870802627,0.06263302706644448,0.2244243142122605,0.23505504700049806,0.11899272425467311,0.09027967306835974,0
Stable_Correct,1726078,0.8828506711491985,0.8677058034156871,0.0836757017564914,0.7861806652477203,0.7504340921721071,0.1489662365623995,-0.09667000589679688,-0.11727171122005371,0.12387340764041158,0.4670824723064171,0.4585368198781854,0.05034585054362942,0.04358372854740242,0.050705611028014345,0.04990954110554807,0.1262925766368462,0.14819408763155664,0.09440661945652959,0.04341924293108423,0
Q1,495830,0.8496234097165074,0.8104239884438157,0.12221394405626716,0.8272469961913755,0.7841013962980853,0.12925361141024383,-0.022376413525131776,-0.026322592145730316,0.01979204895883498,0.4926936288920906,0.49088432183151354,0.00796597905579471,0.0806390490121617,0.10372467471298057,0.07062592334945701,0.10035291943320786,0.12600221479491688,0.07535941734063845,0.03130105076336648,0
Q2,495828,0.8722849440406036,0.8564104796176357,0.10235293585454391,0.8032083761693538,0.7821496968420305,0.12993660308690239,-0.0690765678712799,-0.07426078277565283,0.046929644216105966,0.4773918926750472,0.4750576436670005,0.01971165852836061,0.05157404622295175,0.06052746829916776,0.05873865554743677,0.11214682196350388,0.12451747387445442,0.07952735751178232,0.045372588881628304,0
Q3,495829,0.8858193967124043,0.8807134338744392,0.07828396863898893,0.7752305556724209,0.7683317938520284,0.13009056163470298,-0.11058884103990815,-0.11238164002243252,0.08225701863269164,0.4636822890107846,0.46257941826447646,0.032854108657888986,0.03280770793066747,0.03527607097094095,0.043143582497544894,0.12869937607928264,0.13258582441904154,0.08187522380041048,0.053125170169554425,0
Q4,495828,0.8759189049739767,0.8736788378134723,0.06440884465841615,0.7188996180556418,0.7283529347771095,0.1418836623571874,-0.1570192869172531,-0.14532590303357043,0.13232228856242884,0.446339327183504,0.4497551123446653,0.051683257455925974,0.03176773307387527,0.03371419399753497,0.03747505141993403,0.16498526274413644,0.15920622466385037,0.09203296337808552,0.07243237574320127,0
Q5,495828,0.824366178569816,0.8063196938182438,0.10850491024981748,0.5619989146989084,0.6132192599940753,0.1924673614117849,-0.26236726385588854,-0.19310043379949965,0.25445289930749454,0.39644201836584153,0.42175960877361807,0.10716393596695506,0.06540978749139471,0.0778809899708835,0.07078063695174436,0.27138161661185956,0.23759914732122053,0.13525261142127737,0.12583194172172607,0
boundary,201144,0.8153854833341472,0.8127257131595449,0.10396151673420195,0.6490370012332196,0.6473808874792877,0.15819220970101935,-0.16634848209109315,-0.16534482563093214,0.15654902017779737,0.4381712772557699,0.43768660986375607,0.06598725114322761,0.06738897002855884,0.07129750372894048,0.06954599068888241,0.20343462130992654,0.20603105970335145,0.1078762129605549,0.0603448275862069,0
interior,2277999,0.8656834681971339,0.8613661134391819,0.09849480330427438,0.745111973785738,0.7377952364933154,0.17396240362710827,-0.12057149440875001,-0.12357087693938146,0.1579716808417933,0.4568231771223268,0.4555960250550451,0.06479988385651554,0.05111967896267774,0.05299727738063791,0.059801030204000245,0.1512817472762996,0.15544272850531513,0.11321959116857883,0.0660777287435157,0
class0,965133,0.885069517942691,0.8589362131833562,0.08980809951210818,0.7928025913767098,0.7533331083237655,0.15783042676635892,-0.09226692655946181,-0.10560310481217487,0.13065844977280233,0.4680588132988461,0.462439254094118,0.05300512803399066,0.043211333687002605,0.05596650508656624,0.05312377454927814,0.12216164525511589,0.14491854777264188,0.10002899591855458,0.06432274101082441,0
class1,1044692,0.8615121761375142,0.8365637024617022,0.09620546241164774,0.7439596565548637,0.6989682445595324,0.16212768285369855,-0.11755251957996896,-0.13759545789448382,0.1508813514645935,0.4584044278707637,0.44930406913937737,0.06308610425552319,0.052582996320586974,0.0642883973514189,0.059943801294383606,0.15187633848235055,0.1780370385085753,0.10590404476658194,0.06258782492830423,0
